maranyane a mahala a le wena o kgonang go a fetola.	maraɲanɪ a mahala a lɪ wɪna ʊ k͡χʰʊnaŋ χʊ a fɪtʊla .
Fredia Gibbs o tsholetswe kwa Chester, Pennsylvania. O ne a fiwa leina la "The Cheetah" kwa sekolong ka ntlha ya bokgoni jwa gagwe jwa go taboga. Sekolo se Segolo sa Chester se ne sa bitsa setlhopha sa bone sa go taboga se re "Chester's Cheetahs" ba se reelela ka Gibbs.	frɪdia χibbs ʊ t͡sʰʊlɪt͡swɪ kwa khɪstɪr , pɪnnsjlvania . ʊ nɪ a fiwa lɪina la tʰɪ khɪɪtah kwa sɪkʊlʊŋ ka nt͡ɬʰa ja bʊk͡χʰʊni d͡ʒwa χaχwɪ d͡ʒwa χʊ tabʊχa . sɪkʊlʊ sɪ sɪχʊlʊ sa khɪstɪr sɪ nɪ sa bit͡sa sɪt͡ɬʰʊpʰa sa bʊnɪ sa χʊ tabʊχa sɪ rɪ khɪstɪr s khɪɪtahs ba sɪ rɪɪlɪla ka χibbs .
Nadia o belegetswe mo Aforika Borwa. Rraagwe otswa mo Aforika Borwa mme mmaagwe o tswa kwa Zimbabwe. Fa a ne ale 16 ka dingwaga, sefane sa gagwe se ne sa fetolwa gotswa go sa rraagwe go ya go sa mmaagwe.	nadia ʊ bɪlɪχɪt͡swɪ mʊ afʊrika bʊrwa . rraaχwɪ ʊt͡swa mʊ afʊrika bʊrwa mmɪ mmaaχwɪ ʊ t͡swa kwa zimbabwɪ . fa a nɪ alɪ lɪsʊmɪ lɪ bʊratarʊ ka diŋwaχa , sɪfanɪ sa χaχwɪ sɪ nɪ sa fɪtʊlwa χʊt͡swa χʊ sa rraaχwɪ χʊ ja χʊ sa mmaaχwɪ .
Ene ele mokwadi kwa setshwantshong sa motshikinyego (television) gape a diragatsa jaaka ‘Dame the DJ’ fa a simolola go supa tiro ya gagwe mo tsejwaneng ya YouTube,jaaka Coconut Kelz.	ɪnɪ ɪlɪ mʊkwadi kwa sɪt͡sʰwant͡sʰʊŋ sa mʊt͡sʰikiɲɪχʊ tɪlɪvisiʊn χapɪ a diraχat͡sa d͡ʒaaka damɪ tʰɪ dd͡ʒ fa a simʊlʊla χʊ supa tirʊ ja χaχwɪ mʊ t͡sɪd͡ʒwanɪŋ ja jʊutubɪ , d͡ʒaaka kʊkʊnut kɪlz .
Kago ya ga jaana Lefelo leno le ne la tlhabololwa ka 1937, ka go agiwa ga ntlo ya bonno ya Art Deco, Athenaeum Court.	kaχʊ ja χa d͡ʒaana lɪfɪlʊ lɪnʊ lɪ nɪ la t͡ɬʰabʊlʊlwa ka sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a mararʊ lɪ bʊsupa , ka χʊ aχiwa χa nt͡ɬʊ ja bʊnnʊ ja art dɪkʊ , atʰɪnaɪum kʊurt .
Kago e ne ya amogela Grade II Listing go tswa go Historic England ka 1986. Ka 1998 kago e ne ya fetolwa go nna hotele ke Jestico Whiles Associates, e e neng e sa ntse e na le sebopego sa Edwardian.	kaχʊ ɪ nɪ ja amʊχɪla χradɪ bʊbɪdi listiŋ χʊ t͡swa χʊ histʊrik ɪŋland ka sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a fɪraŋ bʊbɪdi lɪ bʊratarʊ . ka sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a fɪraŋ bʊŋwɪ lɪ bʊfɪra bʊbɪdi kaχʊ ɪ nɪ ja fɪtʊlwa χʊ nna hʊtɪlɪ kɪ d͡ʒɪstikʊ whilɪs assʊkiatɪs , ɪ ɪ nɪŋ ɪ sa nt͡sɪ ɪ na lɪ sɪbʊpɪχʊ sa ɪdwardian .
Ka 2008, Tutona Yar’Adua o ne a mo tlhoma go nna Mokwaledi Mogolo wa Tautona (PSP) go tsaya maikarabelo a Moeteledipele wa Badiri yo o neng a tswa mo tirong. O ne a nna mo Botautoneng go fitlha ka bonako fela morago ga loso lwa ga Tautona Yar’Adua ka Moranang 2010.	ka dikɪtɪ t͡sɪ pɪdi lɪ bʊfɪra bʊbɪdi , tutʊna jar adua ʊ nɪ a mʊ t͡ɬʰʊma χʊ nna mʊkwalɪdi mʊχʊlʊ wa tautʊna psp χʊ t͡saja maikarabɪlʊ a mʊɪtɪlɪdipɪlɪ wa badiri jʊ ʊ nɪŋ a t͡swa mʊ tirʊŋ . ʊ nɪ a nna mʊ bʊtautʊnɪŋ χʊ fit͡ɬʰa ka bʊnakʊ fɪla mʊraχʊ χa lʊsʊ lwa χa tautʊna jar adua ka mʊranaŋ dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ .
Pele ga a nyala, Pere e ne e le monna wa dikarolo tse dintsi. O ne a nna le bana ba le supa kwa ntle ga lenyalo.	pɪlɪ χa a ɲala , pɪrɪ ɪ nɪ ɪ lɪ mʊnna wa dikarʊlʊ t͡sɪ dint͡si . ʊ nɪ a nna lɪ bana ba lɪ supa kwa nt͡ɬɪ χa lɪɲalʊ .
puisano e bolotswe ka 2016-04-01 kwa Wayback Machine on Women's Media Center Live	puisanʊ ɪ bʊlʊt͡swɪ ka dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊratarʊ bʊnɪ bʊŋwɪ kwa wajbakk makhinɪ ʊn wʊmɪn s mɪdia kɪntɪr livɪ
Lefatshe la Chad ke lefatshe le legolo le le dikaganyeditsweng ke mafatshe a mangwe, le ralala bokone-legare la Aforika. Le sephara sa dikhilometara di le sedikadike, dikete di le makgolo a mabedi, masome a ferabobedi le bone. Lefatshe la Chad ka selekanyo, le lennye mo go la Peru mme le feta la Aforika Borwa go le gonnye.	lɪfat͡sʰɪ la khad kɪ lɪfat͡sʰɪ lɪ lɪχʊlʊ lɪ lɪ dikaχaɲɪdit͡swɪŋ kɪ mafat͡sʰɪ a maŋwɪ , lɪ ralala bʊkʊnɪ lɪχarɪ la afʊrika . lɪ sɪpʰara sa dikʰilʊmɪtara di lɪ sɪdikadikɪ , dikɪtɪ di lɪ mak͡χʰʊlʊ a mabɪdi , masʊmɪ a fɪrabʊbɪdi lɪ bʊnɪ . lɪfat͡sʰɪ la khad ka sɪlɪkaɲʊ , lɪ lɪnɲɪ mʊ χʊ la pɪru mmɪ lɪ fɪta la afʊrika bʊrwa χʊ lɪ χʊnɲɪ .
Morago ga tiragalo e, Magoon o ne a sala le Lefapha la Ntwa. Ka 1902, tiro ya gagwe e e neng e bua ka metheo ya semolao ya dipuso tse disha tsa baagi e ne ya gololelwa setšhaba e le buka, Dipego ka Molao wa Puso ya Baagi mo Kgaolong e e Tshwerweng ke Sesole ka 1902.	mʊraχʊ χa tiraχalʊ ɪ , maχʊʊn ʊ nɪ a sala lɪ lɪfapʰa la ntwa . ka sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ bʊbɪdi , tirʊ ja χaχwɪ ɪ ɪ nɪŋ ɪ bua ka mɪtʰɪʊ ja sɪmʊlaʊ ja dipusʊ t͡sɪ diʃa t͡sa baaχi ɪ nɪ ja χʊlʊlɪlwa sɪt͡ʃʰaba ɪ lɪ buka , dipɪχʊ ka mʊlaʊ wa pusʊ ja baaχi mʊ k͡χʰaʊlʊŋ ɪ ɪ t͡sʰwɪrwɪŋ kɪ sɪsʊlɪ ka sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ bʊbɪdi .
Gjipe e mo lefelong le Lewatle la Adriatic le la Ionia di kopanang mo go lone, mo Riviera ya Albania .	χd͡ʒipɪ ɪ mʊ lɪfɪlʊŋ lɪ lɪwat͡ɬɪ la adriatik lɪ la iʊnia di kʊpanaŋ mʊ χʊ lʊnɪ , mʊ riviɪra ja albania .
Kabo ya Poko ya FNB Vita (2000), ya Go ya kwa Letlalong la Me la Bofelo	kabʊ ja pʊkʊ ja fnb vita dikɪtɪ t͡sɪ pɪdi , ja χʊ ja kwa lɪt͡ɬalʊŋ la mɪ la bʊfɪlʊ
Motheo wa Pulitzer wa go Bega ka Mathata o dirile gore go nne le dithulaganyo tsa dithuto tsa mahala tsa mo maranyaneng, o kokoanya dithulaganyo tse dingwe tsa dithuto go tswa mo barutabaneng, mme o thusa go rulaganyetsa gore dibui di etele kwa dikolong. Lefelo le tsaya gore bontsi jwa dithuto di ka dirisiwa ke mephato yotlhe go tswa kwa sekolong se se potlana go ya kwa kholejeng.	mʊtʰɪʊ wa pulitzɪr wa χʊ bɪχa ka matʰata ʊ dirilɪ χʊrɪ χʊ nnɪ lɪ ditʰulaχaɲʊ t͡sa ditʰutʊ t͡sa mahala t͡sa mʊ maraɲanɪŋ , ʊ kʊkʊaɲa ditʰulaχaɲʊ t͡sɪ diŋwɪ t͡sa ditʰutʊ χʊ t͡swa mʊ barutabanɪŋ , mmɪ ʊ tʰusa χʊ rulaχaɲɪt͡sa χʊrɪ dibui di ɪtɪlɪ kwa dikʊlʊŋ . lɪfɪlʊ lɪ t͡saja χʊrɪ bʊnt͡si d͡ʒwa ditʰutʊ di ka dirisiwa kɪ mɪpʰatʊ jʊt͡ɬʰɪ χʊ t͡swa kwa sɪkʊlʊŋ sɪ sɪ pʊt͡ɬana χʊ ja kwa kʰʊlɪd͡ʒɪŋ .
Brussels – Ofisi ya Puisano le Kopano ya Yuropa le mekgatlho ya yone e e tlaleletsang kwa Brussels	brussɪls ʊfisi ja puisanʊ lɪ kʊpanʊ ja jurʊpa lɪ mɪk͡χʰat͡ɬʰʊ ja jʊnɪ ɪ ɪ t͡ɬalɪlɪt͡saŋ kwa brussɪls
Leopold wa bobedi go bolelwa a ne a sa dumalane le go kgaola diatla ka go ne go gobatsa kgatlhego ya gagwe ya itsholelo. O ne a inolwa a re "go kgaola diatla - ke bomatla. Ke di kgaola tsotlhe e seng diatla. Ke sone selo se ke se tlhokang mo Congo."	lɪʊpʊld wa bʊbɪdi χʊ bʊlɪlwa a nɪ a sa dumalanɪ lɪ χʊ k͡χʰaʊla diat͡ɬa ka χʊ nɪ χʊ χʊbat͡sa k͡χʰat͡ɬʰɪχʊ ja χaχwɪ ja it͡sʰʊlɪlʊ . ʊ nɪ a inʊlwa a rɪ χʊ k͡χʰaʊla diat͡ɬa kɪ bʊmat͡ɬa . kɪ di k͡χʰaʊla t͡sʊt͡ɬʰɪ ɪ sɪŋ diat͡ɬa . kɪ sʊnɪ sɪlʊ sɪ kɪ sɪ t͡ɬʰʊkaŋ mʊ kʊŋʊ .
Ditlholosu kana di diriswa jaaka Inthanete,Microsoft, Facebook, Instagram, Twitter le Whatsapp di beeletsa mo tlhabololong ya bašwa ka e le lefelo leo ba kgonang go bona le go tla ka dikakanyo tsa tlhabololo. Department of Education e bong ba Lefapha la Thuto ba ka dira dibasari gore baswa ba kgone go ithutela ka saense le thekenoloji kwa dikolong go oketsa kitso, go ithuta le go bona ditiro.	dit͡ɬʰʊlʊsu kana di diriswa d͡ʒaaka intʰanɪtɪ , mikrʊsʊft , fakɪbʊʊk , instaχram , twittɪr lɪ what͡sapp di bɪɪlɪt͡sa mʊ t͡ɬʰabʊlʊlʊŋ ja baʃwa ka ɪ lɪ lɪfɪlʊ lɪʊ ba k͡χʰʊnaŋ χʊ bʊna lɪ χʊ t͡ɬa ka dikakaɲʊ t͡sa t͡ɬʰabʊlʊlʊ . dɪpartmɪnt ʊf ɪdukatiʊn ɪ bʊŋ ba lɪfapʰa la tʰutʊ ba ka dira dibasari χʊrɪ baswa ba k͡χʰʊnɪ χʊ itʰutɪla ka saɪnsɪ lɪ tʰɪkɪnʊlʊd͡ʒi kwa dikʊlʊŋ χʊ ʊkɪt͡sa kit͡sʊ , χʊ itʰuta lɪ χʊ bʊna ditirʊ .
Bokgoba kwa Ethiopia bo tsweletse go fitlhelela ka ngwaga wa 1942. Lekgotla le le kgatlhanong le bokgoba le ne la akanyetsa fa makgoba a ne a le didikadike tse pedi ka dingwaga tsa 1930 di simologa, mo bathong ba le didikadike diferabobedi go tsena ka di le lesome le borataro. Bo ne jwa fedisiwa ka taolo ya ga Haile Selassie ka Phatwe a le masome a mabedi le borataro ka ngwaga wa 1942.	bʊk͡χʰʊba kwa ɪtʰiʊpia bʊ t͡swɪlɪt͡sɪ χʊ fit͡ɬʰɪlɪla ka ŋwaχa wa sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a manɪ lɪ bʊbɪdi . lɪk͡χʰʊt͡ɬa lɪ lɪ k͡χʰat͡ɬʰanʊŋ lɪ bʊk͡χʰʊba lɪ nɪ la akaɲɪt͡sa fa mak͡χʰʊba a nɪ a lɪ didikadikɪ t͡sɪ pɪdi ka diŋwaχa t͡sa sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a mararʊ di simʊlʊχa , mʊ batʰʊŋ ba lɪ didikadikɪ difɪrabʊbɪdi χʊ t͡sɪna ka di lɪ lɪsʊmɪ lɪ bʊratarʊ . bʊ nɪ d͡ʒwa fɪdisiwa ka taʊlʊ ja χa hailɪ sɪlassiɪ ka pʰatwɪ a lɪ masʊmɪ a mabɪdi lɪ bʊratarʊ ka ŋwaχa wa sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a manɪ lɪ bʊbɪdi .
Go netefatsa neelano ya dintlha le dipatlisiso, polokelo tshedimosetso ya maranyane ya dilwana tsa ngwao tse di kwa metheong e le masome a mararo mo lefatsheng ka bophara e ne ya dirwa. Ka ngwaga wa 2020, Ngwanatsele, e ne ya fa lefelo le dintlha ka dilwana di feta dikete di le masome a mararo le bobedi.	χʊ nɪtɪfat͡sa nɪɪlanʊ ja dint͡ɬʰa lɪ dipat͡ɬisisʊ , pʊlʊkɪlʊ t͡sʰɪdimʊsɪt͡sʊ ja maraɲanɪ ja dilwana t͡sa ŋwaʊ t͡sɪ di kwa mɪtʰɪʊŋ ɪ lɪ masʊmɪ a mararʊ mʊ lɪfat͡sʰɪŋ ka bʊpʰara ɪ nɪ ja dirwa . ka ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi , ŋwanat͡sɪlɪ , ɪ nɪ ja fa lɪfɪlʊ lɪ dint͡ɬʰa ka dilwana di fɪta dikɪtɪ di lɪ masʊmɪ a mararʊ lɪ bʊbɪdi .
Tsogologo ya Lash [A] (Sepotokisi: Revolta da Chibata) e ne e le botsuolodi jwa sesole sa lewatle kwa Rio de Janeiro, Brazil, kwa bokhutlong jwa Ngwanatsele 1910. E ne e le ditlamorago tse di tlhamaletseng tsa tiriso ya dime("dithupa") ke badiredi ba basweu ba sesole sa lewatle fa ba ne ba otlhaya badiredi ba lewatle ba Afro-Brazil le ba morafe o o tlhakaneng.	t͡sʊχʊlʊχʊ ja laʃ a sɪpʊtʊkisi , rɪvʊlta da khibata ɪ nɪ ɪ lɪ bʊt͡suʊlʊdi d͡ʒwa sɪsʊlɪ sa lɪwat͡ɬɪ kwa riʊ dɪ d͡ʒanɪirʊ , brazil , kwa bʊkʰut͡ɬʊŋ d͡ʒwa ŋwanat͡sɪlɪ sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ lɪsʊmɪ . ɪ nɪ ɪ lɪ dit͡ɬamʊraχʊ t͡sɪ di t͡ɬʰamalɪt͡sɪŋ t͡sa tirisʊ ja dimɪ ditʰupa kɪ badirɪdi ba baswɪu ba sɪsʊlɪ sa lɪwat͡ɬɪ fa ba nɪ ba ʊt͡ɬʰaja badirɪdi ba lɪwat͡ɬɪ ba afrʊ brazil lɪ ba mʊrafɪ ʊ ʊ t͡ɬʰakanɪŋ .
Papa Doc Duvalier – mmusaesi wa Haiti, lekgolo la bo20 la dingwaga	papa dʊk duvaliɪr mmusaɪsi wa haiti , lɪk͡χʰʊlʊ la bʊ masʊmɪ a mabɪdi la diŋwaχa
Phetolo e e neng ya amogelwa ke Sylvester Williams ka Firkgong a le lesome le bosupa ngwaga wa 1901 e ne e re:	pʰɪtʊlʊ ɪ ɪ nɪŋ ja amʊχɪlwa kɪ sjlvɪstɪr williams ka firk͡χʰʊŋ a lɪ lɪsʊmɪ lɪ bʊsupa ŋwaχa wa sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ bʊŋwɪ ɪ nɪ ɪ rɪ ,
Du Plessis o nna kwa Ballito le mosadi wa gagwe, Jo le bana ba le bararo: barwadia ba babedi le morwa.	du plɪssis ʊ nna kwa ballitʊ lɪ mʊsadi wa χaχwɪ , d͡ʒʊ lɪ bana ba lɪ bararʊ , barwadia ba babɪdi lɪ mʊrwa .
Ditshupetso tsa 2015: Sefikantswe, go fedisiwa ga bokolone	dit͡sʰupɪt͡sʊ t͡sa dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊt͡ɬʰanʊ , sɪfikant͡swɪ , χʊ fɪdisiwa χa bʊkʊlʊnɪ
Kolone ya pele ya Belgium ya Congo e ne ya tsaya boipuso ka nako ya ngwaga ya Aforika. Kgaolo ya Katanga e eteletswe pele ke Moise Tshombe e ne ya itsise ka bosupi, e enngwe nokeng ke sesole sa Belgioum le lefatshe la France.	kʊlʊnɪ ja pɪlɪ ja bɪlχium ja kʊŋʊ ɪ nɪ ja t͡saja bʊipusʊ ka nakʊ ja ŋwaχa ja afʊrika . k͡χʰaʊlʊ ja kataŋa ɪ ɪtɪlɪt͡swɪ pɪlɪ kɪ mʊisɪ t͡sʰʊmbɪ ɪ nɪ ja it͡sisɪ ka bʊsupi , ɪ ɪnŋwɪ nʊkɪŋ kɪ sɪsʊlɪ sa bɪlχiʊum lɪ lɪfat͡sʰɪ la frankɪ .
Lenaneo la ditlhopho tsa setšhaba mo Botswana	lɪnanɪʊ la dit͡ɬʰʊpʰʊ t͡sa sɪt͡ʃʰaba mʊ bʊt͡swana
Poulter o nnile le seabe mo go bopeng letlhomeso la semolao la Lesotho, bogolosegolo mo molaong wa lelapa. O ne gape a katisa kokomana ya babueledi ba selegae ba ba neng ba tswelela go dira mo nageng. Borutegi jwa gagwe bo kwadile le go sekaseka tirisano magareng ga molao wa setso le ditsamaiso tsa semolao tsa segompieno.	pʊultɪr ʊ nnilɪ lɪ sɪabɪ mʊ χʊ bʊpɪŋ lɪt͡ɬʰʊmɪsʊ la sɪmʊlaʊ la lɪsʊtʰʊ , bʊχʊlʊsɪχʊlʊ mʊ mʊlaʊŋ wa lɪlapa . ʊ nɪ χapɪ a katisa kʊkʊmana ja babuɪlɪdi ba sɪlɪχaɪ ba ba nɪŋ ba t͡swɪlɪla χʊ dira mʊ naχɪŋ . bʊrutɪχi d͡ʒwa χaχwɪ bʊ kwadilɪ lɪ χʊ sɪkasɪka tirisanʊ maχarɪŋ χa mʊlaʊ wa sɪt͡sʊ lɪ dit͡samaisʊ t͡sa sɪmʊlaʊ t͡sa sɪχʊmpiɪnʊ .
Legwaila o ne a direla Botswana ditiro di le mmalwa tsa bodipolomate kwa dinageng tsa Amerika. O ne a dira jaaka Moemedi kwa Cuba go tloga ka 1981 go ya go 2001 mme ka nako e le nngwe a nna Moemedi-Kakaretso kwa Jamaica ka nako e e tshwanang.	lɪχwaila ʊ nɪ a dirɪla bʊt͡swana ditirʊ di lɪ mmalwa t͡sa bʊdipʊlʊmatɪ kwa dinaχɪŋ t͡sa amɪrika . ʊ nɪ a dira d͡ʒaaka mʊɪmɪdi kwa kuba χʊ t͡ɬʊχa ka sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a fɪraŋ bʊbɪdi lɪ bʊŋwɪ χʊ ja χʊ dikɪtɪ t͡sɪ pɪdi lɪ bʊŋwɪ mmɪ ka nakʊ ɪ lɪ nŋwɪ a nna mʊɪmɪdi kakarɪt͡sʊ kwa d͡ʒamaika ka nakʊ ɪ ɪ t͡sʰwanaŋ .
"Fly faces gallows for son's murder", Republic of Botswana Daily News Archive, 2008-10-23, accessed 2009-01-16	flj fakɪs χallʊws fʊr sʊn s murdɪr , rɪpublik ʊf bʊt͡swana dailj nɪws arkhivɪ , dikɪtɪ t͡sɪ pɪdi lɪ bʊfɪra bʊbɪdi lɪsʊmɪ masʊmɪ a mabɪdi lɪ bʊrarʊ , akkɪssɪd dikɪtɪ t͡sɪ pɪdi lɪ bʊfɪra bʊŋwɪ bʊŋwɪ lɪsʊmɪ lɪ bʊratarʊ
Matjila, Daniel Sekepe. "Sound and repetition as metaphor markers in Raditladi's work, Aferika." Muziki 5, no. 2 (2008): 250-262.	matd͡ʒila , daniɪl sɪkɪpɪ . sʊund and rɪpɪtitiʊn as mɪtapʰʊr markɪrs in radit͡ɬadi s wʊrk , afɪrika . muziki bʊt͡ɬʰanʊ , nʊ . bʊbɪdi dikɪtɪ t͡sɪ pɪdi lɪ bʊfɪra bʊbɪdi , mak͡χʰʊlʊ a mabɪdi lɪ masʊmɪ a mat͡ɬʰanʊ χʊ ja χʊ mak͡χʰʊlʊ a mabɪdi lɪ masʊmɪ a maratarʊ lɪ bʊbɪdi .
2019 All my seven faces, Contemporary Arts Center, Cincinnati, OH, USA	dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊfɪra bʊŋwɪ all mj sɪvɪn fakɪs , kʊntɪmpʊrarj art͡s kɪntɪr , kinkinnati , ʊh , usa
Ka ngwaga wa 1891, go ne ga tlhamiwa lefelo la borongwa la Rhine. Morago ga gore go bolelwe fa go tlaa gapiwa lefatshe morago ga dintwa tsa morafe wa Herero ka ngwaga wa 1904, lefatshe mo kgaolong eo le ne la seegelwa fa thoko morafe wa Swartbooi Nama. Fransfontein e santse e le motsana wa boremelelo wa morafe oo, kwa bagogi ba motse ba nnang teng.	ka ŋwaχa wa sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊbɪdi lɪ masʊmɪ a fɪraŋ bʊŋwɪ lɪ bʊŋwɪ , χʊ nɪ χa t͡ɬʰamiwa lɪfɪlʊ la bʊrʊŋwa la rhinɪ . mʊraχʊ χa χʊrɪ χʊ bʊlɪlwɪ fa χʊ t͡ɬaa χapiwa lɪfat͡sʰɪ mʊraχʊ χa dintwa t͡sa mʊrafɪ wa hɪrɪrʊ ka ŋwaχa wa sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ bʊnɪ , lɪfat͡sʰɪ mʊ k͡χʰaʊlʊŋ ɪʊ lɪ nɪ la sɪɪχɪlwa fa tʰʊkʊ mʊrafɪ wa swartbʊʊi nama . fransfʊntɪin ɪ sant͡sɪ ɪ lɪ mʊt͡sana wa bʊrɪmɪlɪlʊ wa mʊrafɪ ʊʊ , kwa baχʊχi ba mʊt͡sɪ ba nnaŋ tɪŋ .
Fa a le dingwaga di le lesome le bosupa, Hamutumbangela o ne a tsena sekolo kwa St. Mary's kwa Odibo: e le moithuti, le e le morutabana. O ne a ya go ithutela boruti kwa St. Bedes, Umtata, a bewa motiakone ka ngwaga wa 1946, le boruti ka 1947. O berekela mo dikerekeng kwa Etale, Windhoek le Omboloka.	fa a lɪ diŋwaχa di lɪ lɪsʊmɪ lɪ bʊsupa , hamutumbaŋɪla ʊ nɪ a t͡sɪna sɪkʊlʊ kwa st . marj s kwa ʊdibʊ , ɪ lɪ mʊitʰuti , lɪ ɪ lɪ mʊrutabana . ʊ nɪ a ja χʊ itʰutɪla bʊruti kwa st . bɪdɪs , umtata , a bɪwa mʊtiakʊnɪ ka ŋwaχa wa sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a manɪ lɪ bʊratarʊ , lɪ bʊruti ka sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a manɪ lɪ bʊsupa . ʊ bɪrɪkɪla mʊ dikɪrɪkɪŋ kwa ɪtalɪ , windhʊɪk lɪ ʊmbʊlʊka .
The Lives of Robert and Mary Moffat. New York, NY: A. C. Armstrong & Son. 1885.	tʰɪ livɪs ʊf rʊbɪrt and marj mʊffat . nɪw jʊrk , ɲ , a . k . armstrʊŋ lɪ sʊn . sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊbɪdi lɪ masʊmɪ a fɪraŋ bʊbɪdi lɪ bʊt͡ɬʰanʊ .
Mokgatlho wa Mma bontle wa Angola o tlhagisitse mofenyi a le mongwe wa Mohumagatsana wa Lefatshe Lotlhe; Leila Lopes wa Porofense ya Benguela o ne a rwesiwa serwalatlhogo sa Mohumagatsana wa Lefatshe Lotlhe wa 2011, a nna Moaforika wa ntlha wa montsho go fenya Mohumagatsana wa Lefatshe Lotlhe fa e sale ka 1999.	mʊk͡χʰat͡ɬʰʊ wa mma bʊnt͡ɬɪ wa aŋʊla ʊ t͡ɬʰaχisit͡sɪ mʊfɪɲi a lɪ mʊŋwɪ wa mʊhumaχat͡sana wa lɪfat͡sʰɪ lʊt͡ɬʰɪ , lɪila lʊpɪs wa pʊrʊfɪnsɪ ja bɪŋuɪla ʊ nɪ a rwɪsiwa sɪrwalat͡ɬʰʊχʊ sa mʊhumaχat͡sana wa lɪfat͡sʰɪ lʊt͡ɬʰɪ wa dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊŋwɪ , a nna mʊafʊrika wa nt͡ɬʰa wa mʊnt͡sʰʊ χʊ fɪɲa mʊhumaχat͡sana wa lɪfat͡sʰɪ lʊt͡ɬʰɪ fa ɪ salɪ ka sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a fɪraŋ bʊŋwɪ lɪ bʊfɪra bʊŋwɪ .
O tsholetswe kwa Gaborone, Johnson o kile a tshamekela kgwele ya dinao ya ditlhopha tsa TAFIC, Gaborone United le Orapa United.	ʊ t͡sʰʊlɪt͡swɪ kwa χabʊrʊnɪ , d͡ʒʊhnsʊn ʊ kilɪ a t͡sʰamɪkɪla k͡χʰwɪlɪ ja dinaʊ ja dit͡ɬʰʊpʰa t͡sa tafik , χabʊrʊnɪ unitɪd lɪ ʊrapa unitɪd .
Ka 2010, o ne a tshameka mo filiming e e tshosang ya Basimane ba ba Latlhegileng: Lenyora[30] le mo metlaeng ya Spud a lebagane le John Cleese.	ka dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ , ʊ nɪ a t͡sʰamɪka mʊ filimiŋ ɪ ɪ t͡sʰʊsaŋ ja basimanɪ ba ba lat͡ɬʰɪχilɪŋ , lɪɲʊra masʊmɪ a mararʊ lɪ mʊ mɪt͡ɬaɪŋ ja spud a lɪbaχanɪ lɪ d͡ʒʊhn klɪɪsɪ .
