Wikipedia Afrika-kan wɛrɛw minu tɛ carinen baw ye	wikipedia afrika kã wɛrɛw minu tɛ t͡ʃarinẽ baw je
Morala Rodríguez, Jose Ramón; González-Quevedo, Roberto; Herreras, José Carlos; Borrego, Julio; Egido, María Cristina (2009). El Leonés en el Siglo XXI (Un Romance Milenario ante el Reto de su Normalización). Instituto De La Lengua Castellano Y Leones. ISBN 978-84-936383-8-2.	morala rodriɡuez , d͡ʒose ramõ , ɡõzalez kuevedo , roberto , herreras , d͡ʒose t͡ʃarlos , borreɡo , d͡ʒulio , eɡido , maria t͡ʃristina ba fila ni kɔnɔ̃tɔ̃ . el leones ẽ el siɡlo muɡã ni kelẽ ũ romãt͡ʃe milenario ãte el reto de su normalizat͡ʃiõ . ĩstituto de la lẽɡua t͡ʃastellano j leones . isbn kɔnɔ̃tɔ̃ wolõwula seɡĩ seɡĩ naani kɔnɔ̃tɔ̃ saba wɔɔrɔ saba seɡĩ saba seɡĩ fila .
Meksikano Dugu Kelenyalen, espanyikan na: Estados Unidos Mexicanos donnen tugun ni Meksiko ye. Kurufa shariyabaju fasojamana don min be Saheli Amerika. A be danbo saheli ni Kelenyalen Dugus (US) ye, worodugu ni tlebi ni Pasifik Kogoji, worodugukoron ni Gatemala, Belizi, ani Karaibu Ji, koronfe ni Meksiko Jikori.	meksikano duɡu keleɲalẽ , espaɲikã na , estados unidos meksit͡ʃanos dõnẽ tuɡũ ni meksiko je . kurufa ʃarijabad͡ʒu fasod͡ʒamana dõ mĩ be saheli amerika . a be dãbo saheli ni keleɲalẽ duɡus us je , woroduɡu ni tlebi ni pasifik koɡod͡ʒi , woroduɡukorõ ni ɡatemala , belizi , ani karaibu d͡ʒi , korõfe ni meksiko d͡ʒikori .
Kosta Rika, madɔnnen Kosta Rika ka Fasojamana (Espaɳikan: Costa Rica walima República de Costa Rica) ye jamana ye Cema Amerika, a bɛ danbɔ ni Nikaragwa saheli, Panama kɔrɔn ani worodugu, Pasifik Kɔgɔji tlebi worodugu ani Karaibu Baji kɔrɔn.	kosta rika , madɔ̃nẽ kosta rika ka fasod͡ʒamana espaɲikã , t͡ʃosta rit͡ʃa walima republit͡ʃa de t͡ʃosta rit͡ʃa je d͡ʒamana je t͡ʃema amerika , a bɛ dãbɔ ni nikaraɡwa saheli , panama kɔrɔ̃ ani woroduɡu , pasifik kɔɡɔd͡ʒi tlebi woroduɡu ani karaibu bad͡ʒi kɔrɔ̃ .
Pigazzano, ye Italy ka dugu ye. A ane Piacenza cɛ kilometiri 30. Dugumogo be taa 1.00 jon yooro. Pigazzano bi sòro mara filana la Emilia-Romagna .	piɡazzano , je italj ka duɡu je . a ane piat͡ʃẽza t͡ʃɛ kilometiri bisaba . duɡumoɡo be taa kelẽ fu fu d͡ʒõ jooro . piɡazzano bi soro mara filana la emilia romaɡna .
Hali mɔgɔ min tε misiw minyɔrɔ la i b'a Dɔn ko flen t'u bolo yen.	hali mɔɡɔ mĩ tɛ misiw miɲɔrɔ la i ba dɔ̃ ko flẽ tu bolo jẽ .
Ni bebo bamako ka ta kayi ibeteme Djumarala ni oye kusata dugubaye	ni bebo bamako ka ta kaji ibeteme dd͡ʒumarala ni oje kusata duɡubaje
Venezuela be danbo ni Guyani, Esekibo Ba koron, Brazil worodugu, Kolonbi tlebi ani Trinidi ani Tobago, Grenada, Sin Lusia, Barnadosi, Curasao, Aruba, Sin Vinsan, ani Grenadiniw ni Antiyi Finyesira saheli. Jamana fensen ye bametri kene 916 445 ni jamanaden 28 517 000. A faaba ye Karakasi ye.	venezuela be dãbo ni ɡujani , esekibo ba korõ , brazil woroduɡu , kolõbi tlebi ani trinidi ani tobaɡo , ɡrenada , sĩ lusia , barnadosi , t͡ʃurasao , aruba , sĩ vĩsã , ani ɡrenadiniw ni ãtiji fiɲesira saheli . d͡ʒamana fẽsẽ je bametri kene ba kɛmɛ kɔnɔ̃tɔ̃ ni tã ni wɔɔrɔ ni kɛmɛ naani ni binaani ni duuru ni d͡ʒamanadẽ milijɔ̃ muɡã ni seɡĩ ni ba kɛmɛ duuru ni tã ni wolõwula . a faaba je karakasi je .
— Trop les retourner, et tu perds leur essence. Pas assez, et elles brûlent. Comme dans le football : timing et équilibre.	trop les retourner , et tu perds leur essẽt͡ʃe . pas assez , et elles brulẽt . t͡ʃõme dãs le football , timĩɡ et ekuilibre .
Misali: ka ji Bɔn = jibɔn (faranfasibali) jibɔɔn (faranfasilen)	misali , ka d͡ʒi bɔ̃ d͡ʒibɔ̃ farãfasibali d͡ʒibɔɔ̃ farãfasilẽ
Misali: Ntεnεndon ne bε Taa Bɔ so ka Na ani Ntεnεndon ne bɔra so; o ntεnεndon fla ʃi fɔcogo tε kelen ye, u dun Sεbεnna cogo kelen. Danfara min b’u fɔcogo cε n’o fana bε danfara Don u ni ɲɔgɔn cε kɔrɔko fan fε, munna an fana tε danfara Don u sεbεncogow cε waasa kalanni tungurun-tungurun ka Ban ani flanflan kana Don u kɔrɔw la.	misali , ntɛnɛ̃dõ ne bɛ taa bɔ so ka na ani ntɛnɛ̃dõ ne bɔra so , o ntɛnɛ̃dõ fla i fɔt͡ʃoɡo tɛ kelẽ je , u dũ sɛbɛ̃na t͡ʃoɡo kelẽ . dãfara mĩ bu fɔt͡ʃoɡo t͡ʃɛ no fana bɛ dãfara dõ u ni ɲɔɡɔ̃ t͡ʃɛ kɔrɔko fã fɛ , mũna ã fana tɛ dãfara dõ u sɛbɛ̃t͡ʃoɡow t͡ʃɛ waasa kalãni tũɡurũ tũɡurũ ka bã ani flãflã kana dõ u kɔrɔw la .
1- “ O tuma, kalanfaw ni kalanden jolenw, nin gafe in Bɔra aw de ye” ɲ.2	kelẽ o tuma , kalãfaw ni kalãdẽ d͡ʒolẽw , nĩ ɡafe ĩ bɔra aw de je ɲ . fila
5- “Saan dɔ kεra Sungalo sen ma ye dugu kɔmɔn labεnw na” ɲ.21	duuru saã dɔ kɛra sũɡalo sẽ ma je duɡu kɔmɔ̃ labɛ̃w na ɲ . muɡã ni kelẽ
Mɔgɔ jugu bε Se ko la (kojugukεla bε ko bεε Kε)	mɔɡɔ d͡ʒuɡu bɛ se ko la kod͡ʒuɡukɛla bɛ ko bɛɛ kɛ
2. Sεbεncogo kura: maanabɔla y’a Fɔ nin cogo la sεbεnni ma flanflan Don min na	fila . sɛbɛ̃t͡ʃoɡo kura , maanabɔla ja fɔ nĩ t͡ʃoɡo la sɛbɛ̃ni ma flãflã dõ mĩ na
Ho Chi Minh-Ville (Thành phố Hồ Chí Minh) bɛ Vietnam kogo dugu nyogo fa. Fôlô fôlô donso cè dô tun bé y'in na tôgô tun ye «sika», donso fariman de tun do. Y'a ni a bé sikasso dugu sigi, a tun sigi l'é bè dugu déni dô la ni o tôgô tun ye ko «bugula». Bugula tun ye dugu déni fitini dô ye mi ma yiriwa kosɛbɛ.	ho t͡ʃhi mĩh ville thãh pho ho t͡ʃhi mĩh bɛ vietnã koɡo duɡu ɲoɡo fa . folo folo dõso t͡ʃe do tũ be jĩ na toɡo tũ je sika , dõso farimã de tũ do . ja ni a be sikasso duɡu siɡi , a tũ siɡi l e be duɡu deni do la ni o toɡo tũ je ko buɡula . buɡula tũ je duɡu deni fitini do je mi ma jiriwa kosɛbɛ .
Sannadɔn ye bangudɔn bolofara ye min dɔnniya bε Boli sannakolow kan. O la, doolow n'u mantonw, ʃyanw n'o ɲɔgɔnnafεnw bεε y'a ka kalanfεn ye.	sãnadɔ̃ je bãɡudɔ̃ bolofara je mĩ dɔ̃nija bɛ boli sãnakolow kã . o la , doolow nu mãtõw , jãw no ɲɔɡɔ̃nafɛ̃w bɛɛ ja ka kalãfɛ̃ je .
Daɲεgafe min bε Mikrosɔft ankarta kɔnɔ, 2006 san bɔko, y’a Jira ko siginikalan ye « balikuw ni kamalenw degeli ye gafekalan ni sεbεnni na, minnu ma Don kalan na ». O tεmεnen kɔ ka Bɔ yen, CMDT ka siginikalan Лεfɔra k’a Kε « fεεrε ye min bε Boli kalanjε, sεbεnni ani jate kεli kan i ka kan na ani i ka baara kun kan » CMDT yεrε cakεlaw fε.	daɲɛɡafe mĩ bɛ mikrosɔft ãkarta kɔnɔ , ba fila ni wɔɔrɔ sã bɔko , ja d͡ʒira ko siɡinikalã je balikuw ni kamalẽw deɡeli je ɡafekalã ni sɛbɛ̃ni na , mĩnu ma dõ kalã na . o tɛmɛnẽ kɔ ka bɔ jẽ , t͡ʃmdt ka siɡinikalã ɫ ɛfɔra ka kɛ fɛɛrɛ je mĩ bɛ boli kalãd͡ʒɛ , sɛbɛ̃ni ani d͡ʒate kɛli kã i ka kã na ani i ka baara kũ kã t͡ʃmdt jɛrɛ t͡ʃakɛlaw fɛ .
N’hakili la nɔgɔyaba bɛna don o gɛlɛya ninnun na k’a sababu kɛ ɛntɛrinɛti ye, bawo kanbayɛlɛma jɛkulu caman bɛ ɛntɛrinɛti kan sisan i n’a fɔ Maneno ani Global Voices, Desgrabador minnun haminankoba dɔ ye dibi farali ye ka bɔ kanw ni ɲɔgɔn cɛ.	n hakili la nɔɡɔjaba bɛna dõ o ɡɛlɛja nĩnũ na ka sababu kɛ ɛ̃tɛrinɛti je , bawo kãbajɛlɛma d͡ʒɛkulu t͡ʃamã bɛ ɛ̃tɛrinɛti kã sisã i na fɔ maneno ani ɡlobal voit͡ʃes , desɡrabador mĩnũ haminãkoba dɔ je dibi farali je ka bɔ kãw ni ɲɔɡɔ̃ t͡ʃɛ .
Moshchena ye Ukrain ka dugu ye. Dugumogo be taa 581 jon yooro (2010).	moʃt͡ʃhena je ukraĩ ka duɡu je . duɡumoɡo be taa kɛmɛ duuru ni biseɡĩ ni kelẽ d͡ʒõ jooro ba fila ni tã .
Vung Tau (Thành phố Vũng Tàu) bɛ Ba Ria-Vung Tau, Vietnam kogo dugu nyogo fa. Fôlô fôlô donso cè dô tun bé y'in na tôgô tun ye «sika», donso fariman de tun do. Y'a ni a bé sikasso dugu sigi, a tun sigi l'é bè dugu déni dô la ni o tôgô tun ye ko «bugula». Bugula tun ye dugu déni fitini dô ye mi ma yiriwa kosɛbɛ.	vũɡ tau thãh pho vũɡ tau bɛ ba ria vũɡ tau , vietnã koɡo duɡu ɲoɡo fa . folo folo dõso t͡ʃe do tũ be jĩ na toɡo tũ je sika , dõso farimã de tũ do . ja ni a be sikasso duɡu siɡi , a tũ siɡi l e be duɡu deni do la ni o toɡo tũ je ko buɡula . buɡula tũ je duɡu deni fitini do je mi ma jiriwa kosɛbɛ .
Église Saint-Pierre-en-Antioche d'Ascq ;	eɡlise saĩt pierre ẽ ãtiot͡ʃhe dast͡ʃk ,
Alimankɛlɛ fɔlɔ daminɛna san 1914, a banna san 1918.	alimãkɛlɛ fɔlɔ daminɛna sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni tã ni naani , a bãna sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni tã ni seɡĩ .
South Korean channel films suicide (Angilɛkan)	south koreã t͡ʃhãnel films suit͡ʃide ãɡilɛkã
Ebola wirisi bana (EVD), Ebola jolibɔn farigan (EHF), walima Ebola kumasurunya la ye bana ye min bɛ hadamaden ni gɔnw minɛ ka sabu kɛ ebolawirisi ye. A taamasɛnw bɛ daminɛ k'a ta tile 2 fo dɔgɔkun 3 i magalɛn kɔ banakisɛ la, ni farigan, kandimi, faridimi ani kungolodimi. O kɔfɛ, a bɛna ni fɔɔnɔ ni fariɲɛɲɛ ye, ani biɲɛ ni kɔmɔkili ka baara dɔgɔyali. O tuma sa, ebolatɔw bɛ jolibɔn farikolo fɛ.	ebola wirisi bana evd , ebola d͡ʒolibɔ̃ fariɡã ehf , walima ebola kumasuruɲa la je bana je mĩ bɛ hadamadẽ ni ɡɔ̃w minɛ ka sabu kɛ ebolawirisi je . a taamasɛ̃w bɛ daminɛ ka ta tile fila fo dɔɡɔkũ saba i maɡalɛ̃ kɔ banakisɛ la , ni fariɡã , kãdimi , faridimi ani kũɡolodimi . o kɔfɛ , a bɛna ni fɔɔnɔ ni fariɲɛɲɛ je , ani biɲɛ ni kɔmɔkili ka baara dɔɡɔjali . o tuma sa , ebolatɔw bɛ d͡ʒolibɔ̃ farikolo fɛ .
Bana bɛ yɛlɛma ni magali banabatɔ joli, farilajiw la ani ebolatɔ suu ni minanw la banakisɛ sɛra minu ma inafɔ miseli ani sɔgɔlibiɲɛw. Mɔgɔ fanba minu ye ebola sɔrɔ Gine san 2014, kɛra ladala suudon sɛnfɛ.	bana bɛ jɛlɛma ni maɡali banabatɔ d͡ʒoli , farilad͡ʒiw la ani ebolatɔ suu ni minãw la banakisɛ sɛra minu ma inafɔ miseli ani sɔɡɔlibiɲɛw . mɔɡɔ fãba minu je ebola sɔrɔ ɡine sã ba fila ni tã ni naani , kɛra ladala suudõ sɛ̃fɛ .
Virus Ebola, Fiche Technique Santé-Sécurité : Agents Pathogènes, sur le site de l'Agence de la santé publique du Canada.	virus ebola , fit͡ʃhe tet͡ʃhnikue sãte set͡ʃurite , aɡẽts pathoɡenes , sur le site de laɡẽt͡ʃe de la sãte publikue du t͡ʃanada .
Warszawa ye Poland ka dugu ye. Dugumogo be taa 1.735.442 jon yooro (2014).	warszawa je polãd ka duɡu je . duɡumoɡo be taa milijɔ̃ kelẽ ni ba kɛmɛ wolõwula ni bisaba ni duuru ni kɛmɛ naani ni binaani ni fila d͡ʒõ jooro ba fila ni tã ni naani .
bar:1945 at: 422000 text: 422000 shift:(0)	bar , ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni binaani ni duuru at , ba kɛmɛ naani ni muɡã ni fila tekst , ba kɛmɛ naani ni muɡã ni fila ʃift , fu
Bernard "Bernie" Sanders (flanan) bangera Uti tle 8 September 1941 (tanikɔnɔntɔn biwɔrɔ ni kelen), ‎Amerika Keleyalen Jamanaw ka binaani ni naaninan ani sisan jamanakuntigi don.	bernard bernie sãders flanã bãɡera uti tle seɡĩ septẽber ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni binaani ni kelẽ tanikɔnɔ̃tɔ̃ biwɔrɔ ni kelẽ , amerika kelejalẽ d͡ʒamanaw ka binaani ni naaninã ani sisã d͡ʒamanakũtiɡi dõ .
Ni yoro ye dunaw munuw bi ya o lu ka ko ɲana bo baka ye ministri mi ka ko ɲɛ si le do ko fɛ moko ma. Sira nani bɛ ye fo o lu te kele ye.	ni joro je dunaw munuw bi ja o lu ka ko ɲana bo baka je ministri mi ka ko ɲɛ si le do ko fɛ moko ma . sira nani bɛ je fo o lu te kele je .
Momainu borini kɛlɛkoro notɛ momainu borini camasoron e la diinɛ la kola, a la dɛkrou notɛ politiki koro, dɛkurou mainuyɛ kɛlɛnna bilaro. kamasoron silan ma a tɛssɛ tola a la diamana conno.	momainu borini kɛlɛkoro notɛ momainu borini t͡ʃamasorõ e la diinɛ la kola , a la dɛkrou notɛ politiki koro , dɛkurou mainujɛ kɛlɛ̃na bilaro . kamasorõ silã ma a tɛssɛ tola a la diamana t͡ʃõno .
Itali konon sigui sebe mi be di lonan ma faman fe lonan kan ka mi gnini faman fe ka to djamanan konon ka temin telé kononto sebe be mogo mi bollo ka djamana fille bese ka to djamanan ka temin telé bikononto kan djamanade mi be ho ka djekoula makoté ho sebe la.	itali konõ siɡui sebe mi be di lonã ma famã fe lonã kã ka mi ɡnini famã fe ka to dd͡ʒamanã konõ ka temĩ tele konõto sebe be moɡo mi bollo ka dd͡ʒamana fille bese ka to dd͡ʒamanã ka temĩ tele bikonõto kã dd͡ʒamanade mi be ho ka dd͡ʒekoula makote ho sebe la .
Bagneux ye Faransi ka dugu ye. Dugumogo be taa jon yooro.	baɡneuks je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro .
Clichy ye Faransi ka dugu ye. Dugumogo be taa jon yooro.	t͡ʃlit͡ʃhj je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro .
La Garenne-Colombes ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2015).	la ɡarẽne t͡ʃolõbes je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni duuru .
Nanterre ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2015).	nãterre je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni duuru .
Suresnes ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2014).	suresnes je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni naani .
Saint-Nazaire ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2015).	saĩt nazaire je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni duuru .
Grasse ye Faransi ka dugu ye. Dugumogo be taa jon yooro.	ɡrasse je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro .
Charlotte ye Amerika ka Kelenyalen Jamanaw ka dugu ye.	t͡ʃharlotte je amerika ka keleɲalẽ d͡ʒamanaw ka duɡu je .
Corsept ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2015).	t͡ʃorsept je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni duuru .
Les Moutiers-en-Retz ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2015).	les moutiers ẽ retz je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni duuru .
Saint-Léger-les-Vignes ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2015).	saĩt leɡer les viɡnes je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni duuru .
Couëron ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2015).	t͡ʃouerõ je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni duuru .
Machecoul-Saint-Même ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2015).	mat͡ʃhet͡ʃoul saĩt meme je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni duuru .
Saint-Nicolas-de-Redon ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2015).	saĩt nit͡ʃolas de redõ je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni duuru .
La Grigonnais ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2015).	la ɡriɡõnais je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni duuru .
Riaillé ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2015).	riaille je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni duuru .
Trans-sur-Erdre ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2015).	trãs sur erdre je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni duuru .
Châteaubriant ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2015).	t͡ʃhateaubriãt je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni duuru .
Le Cellier ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2015).	le t͡ʃellier je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni duuru .
Saint-Géréon ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2015).	saĩt ɡereõ je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni duuru .
La Chapelle-Glain ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2015).	la t͡ʃhapelle ɡlaĩ je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni duuru .
Gien ye Faransi ka dugu ye. Dugumogo be taa jon yooro (2015).	ɡiẽ je farãsi ka duɡu je . duɡumoɡo be taa d͡ʒõ jooro ba fila ni tã ni duuru .
Ukrayina ni Belarus jamana nataw labanna ka faranfasi ka bɔ Irisi nata la san kɛmɛda 14nan na, ka kɛ Litwanie Duchy belebele dɔ ye (fo ka se san kɛmɛda 18nan ma, nin jamana fila in tun bɛ ɲɔgɔn fɛ, ani Ukraine ni Belarus kanw daɲɛw bɛ bɛn ɲɔgɔn ma hali sisan ni 84%).	ukrajina ni belarus d͡ʒamana nataw labãna ka farãfasi ka bɔ irisi nata la sã kɛmɛda tã ni naani nã na , ka kɛ litwanie dut͡ʃhj belebele dɔ je fo ka se sã kɛmɛda tã ni seɡĩ nã ma , nĩ d͡ʒamana fila ĩ tũ bɛ ɲɔɡɔ̃ fɛ , ani ukraine ni belarus kãw daɲɛw bɛ bɛ̃ ɲɔɡɔ̃ ma hali sisã ni biseɡĩ ni naani kɛmɛsarada .
1914 Mansamara Nicholas II ye dankari kɛ Ukraine sɛbɛnnikɛla ŋana Taras Shevchenko bangeli san 100nan seli la Risi Mansamara kɔnɔ	ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni tã ni naani mãsamara nit͡ʃholas fila je dãkari kɛ ukraine sɛbɛ̃nikɛla ŋana taras ʃevt͡ʃhẽko bãɡeli sã kɛmɛ nã seli la risi mãsamara kɔnɔ
Yapen ye gun ye Ɛndonezi ka Schouten Gunw kɔnɔ. Biak Gun bɛ saheli fɛ ani New Guinea bɛ kɔrɔn fɛ.	japẽ je ɡũ je ɛ̃donezi ka st͡ʃhoutẽ ɡũw kɔnɔ . biak ɡũ bɛ saheli fɛ ani new ɡuinea bɛ kɔrɔ̃ fɛ .
Institut Mozdahir International n’a bԑ fᴐ a man ko IMI ye Kԑnyԑrԑye jԑkulu min tԑ politiki ton na, a siginna sen kan san 2000 Serifu Muhamadu Ali Ayidara (Chérif Mohamed Aly Aïdara) fԑ. A baju sigilen bԑ Dakare. IMI ye jamaruya sԑbԑn sᴐrᴐ ka baara kԑ i ko Kԑnyԑrԑye jԑkulu jamana caman fԑ an ka dafԑ jamananw kᴐnᴐ i n’a fo Mali, Senegali, Kɔnɔwari, Gine Bisau o na ɲᴐgᴐn na caman.	ĩstitut mozdahir ĩternational na bɛ fɔ a mã ko imi je kɛɲɛrɛje d͡ʒɛkulu mĩ tɛ politiki tõ na , a siɡĩna sẽ kã sã ba fila serifu muhamadu ali ajidara t͡ʃherif mohamed alj aidara fɛ . a bad͡ʒu siɡilẽ bɛ dakare . imi je d͡ʒamaruja sɛbɛ̃ sɔrɔ ka baara kɛ i ko kɛɲɛrɛje d͡ʒɛkulu d͡ʒamana t͡ʃamã fɛ ã ka dafɛ d͡ʒamanãw kɔnɔ i na fo mali , seneɡali , kɔnɔwari , ɡine bisau o na ɲɔɡɔ̃ na t͡ʃamã .
Serifu ye sԑbԑnnin damadᴐ kԑ silamԑya dinԑ kan ciden Muhamadu kisi ni hinԑ bԑ a ye buruju ani alimamu 12 kan alubetu Ala ka hinԑ u la. A kitaabu caman bᴐra. U na cogo filԑ:	serifu je sɛbɛ̃nĩ damadɔ kɛ silamɛja dinɛ kã t͡ʃidẽ muhamadu kisi ni hinɛ bɛ a je burud͡ʒu ani alimamu tã ni fila kã alubetu ala ka hinɛ u la . a kitaabu t͡ʃamã bɔra . u na t͡ʃoɡo filɛ ,
APPEL Chérif Mohamed Ali Aïdara, guide des chiites : «Partout dans le monde, les musulmans sont opprimés». Le Quotidien.	appel t͡ʃherif mohamed ali aidara , ɡuide des t͡ʃhiites , partout dãs le mõde , les musulmãs sõt opprimes . le kuotidiẽ .
Les pressions faites sur notre communauté ne nous ébranlent point. Enquete Plus.	les pressiõs faites sur notre t͡ʃõmunaute ne nous ebrãlẽt poĩt . ẽkuete plus .
Ko te Times Higher Education (THE), i mua ko te Times Higher Education Supplement (THES), he moheni Ingarangi e whakaatu ana i nga korero me nga take e pa ana ki te maatauranga teitei.	ko te times hiɡher edut͡ʃatiõ the , i mua ko te times hiɡher edut͡ʃatiõ supplemẽt thes , he moheni ĩɡarãɡi e whakaatu ana i ŋɡa korero me ŋɡa take e pa ana ki te maataurãɡa teitei .
A cikin 2019, an yi ta yayatawa cewa Elsevier, wanda ya riga ya yi haɗin gwiwa tare da THE don tattara martabar jami'a, yana shirin ɗaukar Babban Ilimin Times gaba ɗaya.	a t͡ʃikĩ ba fila ni tã ni kɔnɔ̃tɔ̃ , ã ji ta jajatawa t͡ʃewa elsevier , wãda ja riɡa ja ji hadĩ ɡwiwa tare da the dõ tattara martabar d͡ʒami a , jana ʃirĩ daukar babbã ilimĩ times ɡaba daja .
Davies, Anjuli. "TPG to buy TSL Education for 400 million pounds". Reuters. Retrieved 8 July 2013.2	davies , ãd͡ʒuli . tpɡ to buj tsl edut͡ʃatiõ for kɛmɛ naani milliõ poũds . reuters . retrieved seɡĩ d͡ʒulj ba fila ni tã ni saba fila
"RELX said to be planning £100mln takeover of Times Higher Education". Proactiveinvestors UK. 27 November 2018. Retrieved 30 August 2019.	relks said to be plãnĩɡ kɛmɛ mln takeover of times hiɡher edut͡ʃatiõ . proat͡ʃtiveĩvestors uk . muɡã ni wolõwula novẽber ba fila ni tã ni seɡĩ . retrieved bisaba auɡust ba fila ni tã ni kɔnɔ̃tɔ̃ .
Michael Joseph Jackson (29 uti 1958, Gary, Indiana, Amerika - 25 Zuwɛnkalo 2009, Los Angeles, California) tun ye dɔnkilidala ni dɔnkɛla ye.	mit͡ʃhael d͡ʒoseph d͡ʒat͡ʃksõ muɡã ni kɔnɔ̃tɔ̃ uti ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biduuru ni seɡĩ , ɡarj , ĩdiana , amerika muɡã ni duuru zuwɛ̃kalo ba fila ni kɔnɔ̃tɔ̃ , los ãɡeles , t͡ʃalifornia tũ je dɔ̃kilidala ni dɔ̃kɛla je .
Costalago, Vicente (2021) Fabules, racontas e mites .	t͡ʃostalaɡo , vit͡ʃẽte ba fila ni muɡã ni kelẽ fabules , rat͡ʃõtas e mites .
Kuma hɔrɔnya ye sariyakolo ye min bɛ mɔgɔ kelen walima sigida ka hɔrɔnya dɛmɛ walasa k’a hakilinaw fɔ k’a sɔrɔ u ma siran waleɲumandɔn ɲɛ, walima sariya ka jalaki. A ka c’a la, kuma hɔrɔnyalen daɲɛ bɛ fɔ cogo lafiyalen na nka, sariya siratigɛ la, a bɛ kunnafoni walima hakilinaw ɲinini, u sɔrɔcogo ani u dicogo wale suguya bɛɛ sen don, a mana kɛ fɛɛrɛ o fɛɛrɛ ye.	kuma hɔrɔɲa je sarijakolo je mĩ bɛ mɔɡɔ kelẽ walima siɡida ka hɔrɔɲa dɛmɛ walasa ka hakilinaw fɔ ka sɔrɔ u ma sirã waleɲumãdɔ̃ ɲɛ , walima sarija ka d͡ʒalaki . a ka t͡ʃa la , kuma hɔrɔɲalẽ daɲɛ bɛ fɔ t͡ʃoɡo lafijalẽ na ŋka , sarija siratiɡɛ la , a bɛ kũnafoni walima hakilinaw ɲinini , u sɔrɔt͡ʃoɡo ani u dit͡ʃoɡo wale suɡuja bɛɛ sẽ dõ , a mana kɛ fɛɛrɛ o fɛɛrɛ je .
