ھەركىم ئۆزى يازالايدىغان ئوچۇق ئېنسكلوپېدىيە	hɛrkim ʔøzi jɑzɑlɑjdiʁɑn ʔot͡ʃuq ʔensklopedijɛ
تولۇق ئوتتۇرىدىن يۇقىرى ئالاھىدە مائارىپ ئاپپاراتلىرى ۋە ئادەتتىكى مائارىپ ئاپپاراتلىرىنىڭ ئالاھىدە مائارىپ سىنىپلىرى ۋە مېيىپلەر كەسپىي مائارىپ ئاپپاراتلىرى شەرتكە توشىدىغان مېيىپلەرنى تولۇق ئوتتۇرىدىن يۇقىرى مەدەنىيەت مائارىپى ۋە كەسپىي مائارىپ بويىچە تەربىيەلەيدۇ.	toluq ʔotturidin juqiri ʔɑlɑhidɛ mɑʔɑrip ʔɑppɑrɑtliri wɛ ʔɑdɛttiki mɑʔɑrip ʔɑppɑrɑtliriniŋ ʔɑlɑhidɛ mɑʔɑrip sinipliri wɛ mejiplɛr kɛspij mɑʔɑrip ʔɑppɑrɑtliri ʃɛrtkɛ toʃidiʁɑn mejiplɛrni toluq ʔotturidin juqiri mɛdɛnijɛt mɑʔɑripi wɛ kɛspij mɑʔɑrip bojit͡ʃɛ tɛrbijɛlɛjdu .
تاپشۇرۇۋالغۇچى ئەمگەك بىلەن تەربىيىلىنىۋاتقان بولسا، ئۇنىڭغا ئۆزى ئەمگەك بىلەن تەربىيىلىنىۋاتقان ئورۇن ئارقىلىق يەتكۈزىلىدۇ.	tɑpʃuruwɑlʁut͡ʃi ʔɛmɡɛk bilɛn tɛrbijiliniwɑtqɑn bolsɑ , ʔuniŋʁɑ ʔøzi ʔɛmɡɛk bilɛn tɛrbijiliniwɑtqɑn ʔorun ʔɑrqiliq jɛtkyzilidu .
خەلق سوت مەھكىمىسى ئىجرا قىلىنسا جامائەت مەنپەئىتىگە خىلاپ كېلىدۇ، دەپ بېكىتكەن قارارنى ئىجرا قىلماسلىق توغرىسىدا كېسىم چىقىرىدۇ.	χɛlq sot mɛhkimisi ʔid͡ʒrɑ qilinsɑ d͡ʒɑmɑʔɛt mɛnpɛʔitiɡɛ χilɑp kelidu , dɛp bekitkɛn qɑrɑrni ʔid͡ʒrɑ qilmɑsliq toʁrisidɑ kesim t͡ʃiqiridu .
(2) تىجارەتكە سېلىنىدىغان ئۇرۇققا بەلگە سالمىغانلار ياكى بەلگىنىڭ مەزمۇنى بۇ قانۇندىكى بەلگىلىمىگە ئۇيغۇن كەلمىگەنلەر؛	ʔikki tid͡ʒɑrɛtkɛ selinidiʁɑn ʔuruqqɑ bɛlɡɛ sɑlmiʁɑnlɑr jɑki bɛlɡiniŋ mɛzmuni bu qɑnundiki bɛlɡilimiɡɛ ʔujʁun kɛlmiɡɛnlɛr ,
ئۆتكۈزۈپ بېرىلگۈچىنى جىنايى جاۋابكارلىققا تارتىشتا، ئەدلىيە ئورگىنى بەرگەن ۋەدىسىنىڭ چەكلىمىسىگە ئۇچرىشى لازىم.	ʔøtkyzyp berilɡyt͡ʃini d͡ʒinɑji d͡ʒɑwɑbkɑrliqqɑ tɑrtiʃtɑ , ʔɛdlijɛ ʔorɡini bɛrɡɛn wɛdisiniŋ t͡ʃɛklimisiɡɛ ʔut͡ʃriʃi lɑzim .
38)ئۆتۈپ كەلدۇق . كەلمىگىمىز قىيىنغا چۈشتى . كەلگىنىمىزنى ئۇلار تۇيمىدى . تەڭرى ، ئۇماي ، مۇقەددەس يەر -سۇ بىزگە مەدەت بېرىدۇ . بىز يەنە نېمىشقا تېزىپ كېتىمىز ؟!	ʔottuz sɛkkiz ʔøtyp kɛlduq . kɛlmiɡimiz qijinʁɑ t͡ʃyʃti . kɛlɡinimizni ʔulɑr tujmidi . tɛŋri , ʔumɑj , muqɛddɛs jɛr su bizɡɛ mɛdɛt beridu . biz jɛnɛ nemiʃqɑ tezip ketimiz !
— ئى يولۇچىغا ئوزۇق بەرگۈچىنىڭ قىزى! نەگە ماڭدىڭ؟ — دەپ سورىدى، مەن دەرھال:	ʔi jolut͡ʃiʁɑ ʔozuq bɛrɡyt͡ʃiniŋ qizi ! nɛɡɛ mɑŋdiŋ ? dɛp soridi , mɛn dɛrhɑl
ئىسلامىيەت ئەرەب يېرىم ئارىلىدا ئاساسلىق دىنغا ئايلانغاندىن كېيىن ۋەرخىل يوللار بىلەن ئەتراپقا يېيىلىشقا باشلىغانىدى. ئىران ئىگىزلىكىنىڭ ئىسلاملىشىشى تاماملانغاندىن كېيىن، ئىسلامىيەت ئوتتۇرا ئاسىياغا كېڭىيىشكە باشلايدۇ. 7-ئەسىردە تۈركلەرنىڭ غەرپكە كېڭىيىش ۋە كۆچۈش ھەرىكىتى ئەمىلىيلىشىۋاتقان ئىدى.	ʔislɑmijɛt ʔɛrɛp jerim ʔɑrilidɑ ʔɑsɑsliq dinʁɑ ʔɑjlɑnʁɑndin kejin wɛrχil jollɑr bilɛn ʔɛtrɑpqɑ jejiliʃqɑ bɑʃliʁɑnidi . ʔirɑn ʔiɡizlikiniŋ ʔislɑmliʃiʃi tɑmɑmlɑnʁɑndin kejin , ʔislɑmijɛt ʔotturɑ ʔɑsijɑʁɑ keŋijiʃkɛ bɑʃlɑjdu . jɛttint͡ʃi ʔɛsirdɛ tyrklɛrniŋ ʁɛrpkɛ keŋijiʃ wɛ køt͡ʃyʃ hɛrikiti ʔɛmilijliʃiwɑtqɑn ʔidi .
1984-يىلى ئاپتونوم رايون ئۆتكۈزگەن «تەڭرىتاغدا باھار» ناخشا-ئۇسسۇل كۆرىكىدە ئاۋات سەنئەت ئۆمىكىنىڭ ناخشىچىسى گۈزەلنۇر ئېيتقان «مىراجىخان»، «گۈزەل ئەخلاق» دېگەن ناخشىلار 3-دەرىجىلىك مۇكاپاتقا ئېرىشتى.	miŋ toqquz jyz sɛksɛn tøtint͡ʃi jili ʔɑptonom rɑjon ʔøtkyzɡɛn tɛŋritɑʁdɑ bɑhɑr nɑχʃɑ ʔussul kørikidɛ ʔɑwɑt sɛnʔɛt ʔømikiniŋ nɑχʃit͡ʃisi ɡyzɛlnur ʔejtqɑn mirɑd͡ʒiχɑn , ɡyzɛl ʔɛχlɑq deɡɛn nɑχʃilɑr ʔyt͡ʃint͡ʃi dɛrid͡ʒilik mukɑpɑtqɑ ʔeriʃti .
غەربىي لياۋ لەشكەرلىرى سەمەرقەندنىڭ شىمالىدىكى كاتۋان يايلىقىدا سالجۇقلارنىڭ لەشكەرلىرى بىلەن ئۇرۇشتى ، سالجۇقلارنىڭ لەشكەرلىرى يىڭىلىپ قالدى. ماۋرا ئۈنەھرى رايونى لياۋنىڭ قولىغا ئۆتۈپ كەتتى . شۇنىڭ بىلەن غەربىي قارخانىيلار سۇلالىسى غەربىي لياۋغا قارام بۇلۇپ	ʁɛrbij ljɑw lɛʃkɛrliri sɛmɛrqɛndniŋ ʃimɑlidiki kɑtwɑn jɑjliqidɑ sɑld͡ʒuqlɑrniŋ lɛʃkɛrliri bilɛn ʔuruʃti , sɑld͡ʒuqlɑrniŋ lɛʃkɛrliri jiŋilip qɑldi . mɑwrɑ ʔynɛhri rɑjoni ljɑwniŋ qoliʁɑ ʔøtyp kɛtti . ʃuniŋ bilɛn ʁɛrbij qɑrχɑnijlɑr sulɑlisi ʁɛrbij ljɑwʁɑ qɑrɑm bulup
ئىسىملارنىڭ جۈملىدىكى ئىش –ھەركىتىنىڭ چىقىش ئورنى، سەۋەبى، ھەرىكەت مەزمۇن قىلىنغان ساھەنى بىلدۈرىدىغان كېلىش شەكلى بۇلۇپ، قۇشۇمچىسى «دىن، تىن»، بېرىلدىغان سۇئاللار «كىمدىن، نېمىدىن، كىملەردىن، نېمىلەردىن، قەيەردىن، نەدىن» قاتارلىقلار؛	ʔisimlɑrniŋ d͡ʒymlidiki ʔiʃ hɛrkitiniŋ t͡ʃiqiʃ ʔorni , sɛwɛbi , hɛrikɛt mɛzmun qilinʁɑn sɑhɛni bildyridiʁɑn keliʃ ʃɛkli bulup , quʃumt͡ʃisi din , tin , berildiʁɑn suʔɑllɑr kimdin , nemidin , kimlɛrdin , nemilɛrdin , qɛjɛrdin , nɛdin qɑtɑrliqlɑr ,
112. «ئۇيغۇر قەبىلىلىرىنىڭ ئەڭ قەدىمكى تەبىئەت - ئىلاھىيەت قەراشلىرىھەققىدە» ("شىنجاڭ ئۈنىۋېرسىتىتى ئىلمىي ژۇرنىلى" 1990- يىللىق 1- سان ).	jyz ʔon ʔikki . ʔujʁur qɛbililiriniŋ ʔɛŋ qɛdimki tɛbiʔɛt ʔilɑhijɛt qɛrɑʃlirihɛqqidɛ ʃind͡ʒɑŋ ʔyniwersititi ʔilmij ʒurnili miŋ toqquz jyz toqsɑnint͡ʃi jilliq birint͡ʃi sɑn .
بىز ئۈزىنى بىر ئۈمۈر مىللىتىمىز پەن-مەدەنىيىتىنىڭ ئاساسى بولغان تىل-يېزىق ۋە تەرجىمە ساھەسىگە بېغىشلاپ، زور نەتىجىلەرنى ياراتقان ۋە بۇ ساھەنىڭ قوشۇن قۇرۇلۇشى ئۈچۈن ئىنتايىن ئەھمىيەتلىك ئەمگەكلەر بىلەن شۇغۇللانغان بۇ تىرىشچان، كەمتەر، ئىلىمدا ئەستايىدىل ۋە ئەمەلىيەتچىل ئۇستاز خەمىت تۈمۈر كېسەل سەۋەبىدىن 2006- يىلى 9-ئاينىڭ 15-كۈنى ئالەمدىن ئۈتتى . مەرھۇم ئۇستازنىڭ ياتقان يېرى جەننەتتە بولغاي ! )	biz ʔyzini bir ʔymyr millitimiz pɛn mɛdɛnijitiniŋ ʔɑsɑsi bolʁɑn til jeziq wɛ tɛrd͡ʒimɛ sɑhɛsiɡɛ beʁiʃlɑp , zor nɛtid͡ʒilɛrni jɑrɑtqɑn wɛ bu sɑhɛniŋ qoʃun quruluʃi ʔyt͡ʃyn ʔintɑjin ʔɛhmijɛtlik ʔɛmɡɛklɛr bilɛn ʃuʁullɑnʁɑn bu tiriʃt͡ʃɑn , kɛmtɛr , ʔilimdɑ ʔɛstɑjidil wɛ ʔɛmɛlijɛtt͡ʃil ʔustɑz χɛmit tymyr kesɛl sɛwɛbidin ʔikki miŋ ʔɑltint͡ʃi jili toqquzint͡ʃi ʔɑjniŋ ʔon bɛʃint͡ʃi kyni ʔɑlɛmdin ʔytti . mɛrhum ʔustɑzniŋ jɑtqɑn jeri d͡ʒɛnnɛttɛ bolʁɑj !
مەن ئائىلە، تۇرمۇش ۋە خىزمەتتىكى ھەر خىل مۇناسىۋەتلەرنىڭ مۇھىملىق تەرتىۋىنى مۇنداق تىزىمەن:	mɛn ʔɑʔilɛ , turmuʃ wɛ χizmɛttiki hɛr χil munɑsiwɛtlɛrniŋ muhimliq tɛrtiwini mundɑq tizimɛn
22. « ئەدەبىيات » ( بۇ تولۇق ئوتتۇرا مەكتەپ 2- يىللىقنىڭ دەرسلىك كىتابى بولۇپ ، ئۇنىڭغا ئالىمنىڭ ” كىتاب ۋە كىتاب مەدەنىيىتى” ناملىق ماقالىسى كىرگۈزۈلگەن ) ، شىنجاڭ مائارىپ نەشرىياتى 1999- يىلى نەشر قىلىنغان .	jiɡirmɛ ʔikki . ʔɛdɛbijɑt bu toluq ʔotturɑ mɛktɛp ʔikkint͡ʃi jilliqniŋ dɛrslik kitɑbi bolup , ʔuniŋʁɑ ʔɑlimniŋ kitɑp wɛ kitɑp mɛdɛnijiti nɑmliq mɑqɑlisi kirɡyzylɡɛn , ʃind͡ʒɑŋ mɑʔɑrip nɛʃrijɑti miŋ toqquz jyz toqsɑn toqquzint͡ʃi jili nɛʃr qilinʁɑn .
ئۇيغۇرلار بۇرۇنراق شەھەرلەشكەن، بازار ئىگىلىكىنى يولغا قويغان خەلقلەرنىڭ بىرى. بازار سودىسىنىڭ جانلىنىشى تەبىئىي ھالدا تاۋار ئالماشتۇرۇشتىكى ئۆلچەم بىرلىكلىرىنى تەلەپ قىلىدۇ. بۇ ئۆلچەملەر ھەرقايسى خەلقلەرنىڭ ئىجتىمائىي تۇرمۇشى بىلەن زىچ باغلانغان ھالدا روشەن مىللىيلىككە ئىگە بولۇپ، ئۇيغۇر ھازىرقى زامان مېتىرولوگىيىلىك ناملارنىڭ بارلىققا كېلىشىگە ئاساس سالغان.	ʔujʁurlɑr burunrɑq ʃɛhɛrlɛʃkɛn , bɑzɑr ʔiɡilikini jolʁɑ qojʁɑn χɛlqlɛrniŋ biri . bɑzɑr sodisiniŋ d͡ʒɑnliniʃi tɛbiʔij hɑldɑ tɑwɑr ʔɑlmɑʃturuʃtiki ʔølt͡ʃɛm birliklirini tɛlɛp qilidu . bu ʔølt͡ʃɛmlɛr hɛrqɑjsi χɛlqlɛrniŋ ʔid͡ʒtimɑʔij turmuʃi bilɛn zit͡ʃ bɑʁlɑnʁɑn hɑldɑ roʃɛn millijlikkɛ ʔiɡɛ bolup , ʔujʁur hɑzirqi zɑmɑn metiroloɡijilik nɑmlɑrniŋ bɑrliqqɑ keliʃiɡɛ ʔɑsɑs sɑlʁɑn .
بۇ ماقالىنى ھېچ كىمدىن سورىماي، مەنبېسىنى بەرگەن ئاساستا باشقا ھەر قانداق تورغا چىقارسىڭىز، ياكى ئېلكىتابقا ئوخشاش باشقا ھەر قانداق شەكىلدە ئىشلەتسىڭىز بولىۋېرىدۇ. بۇ ماقالە بارلىق ئۇيغۇرلارغا مەنسۇپ.	bu mɑqɑlini het͡ʃ kimdin sorimɑj , mɛnbesini bɛrɡɛn ʔɑsɑstɑ bɑʃqɑ hɛr qɑndɑq torʁɑ t͡ʃiqɑrsiŋiz , jɑki ʔelkitɑbqɑ ʔoχʃɑʃ bɑʃqɑ hɛr qɑndɑq ʃɛkildɛ ʔiʃlɛtsiŋiz boliweridu . bu mɑqɑlɛ bɑrliq ʔujʁurlɑrʁɑ mɛnsup .
[11] ئەلىشىر نەۋائىي : ‹‹ۋەھفىييە››، باكۇ، 1926- يىلى، 29- بەت.	ʔon bir ʔɛliʃir nɛwɑʔij wɛhpijjɛ , bɑku , miŋ toqquz jyz jiɡirmɛ ʔɑltint͡ʃi jili , jiɡirmɛ toqquzint͡ʃi bɛt .
بىز سورىمىغان نەرسىلەرنىمۇ بىزگە ئاتا قىلدىڭ.	biz sorimiʁɑn nɛrsilɛrnimu bizɡɛ ʔɑtɑ qildiŋ .
تەڧسىرلەرنىڭ ھەممىسىدە تەڧسىر قىلغان كىشىنىڭ ئىلمى، ئالدىنقى تاللاشلىرى، مايىللىقلىرى، زېھنىي قابىلىيەتلىرىنىڭ تەڧسىرىگە ئەكس ئەتتۈرلىشى تەبىئي بىر نەتىجىدۇر. مەسىلەن، قۇرئان ئايەتلىرىدە ئۆتكەن "راھمان ئەرشكە ئولتۇردى"، "ئاللاھنىڭ قولى ئۇلارنىڭ قولىنىڭ ئۈستىدەدۇر"، "ئاللاھنىڭ يۈزى" دېگەندەك ئىپادىلەر ئەقائىد ۋە كەلام تەرەپتىن تۈشەندۈرىلىدۇ.	tɛpsirlɛrniŋ hɛmmisidɛ tɛpsir qilʁɑn kiʃiniŋ ʔilmi , ʔɑldinqi tɑllɑʃliri , mɑjilliqliri , zehnij qɑbilijɛtliriniŋ tɛpsiriɡɛ ʔɛks ʔɛttyrliʃi tɛbiʔj bir nɛtid͡ʒidur . mɛsilɛn , qurʔɑn ʔɑjɛtliridɛ ʔøtkɛn rɑhmɑn ʔɛrʃkɛ ʔolturdi , ʔɑllɑhniŋ qoli ʔulɑrniŋ qoliniŋ ʔystidɛdur , ʔɑllɑhniŋ jyzi deɡɛndɛk ʔipɑdilɛr ʔɛqɑʔit wɛ kɛlɑm tɛrɛptin tyʃɛndyrilidu .
ئىمام ئەبۇھەنىفەنىڭ زامانداشلىرىدىن فۇزەيل ئىبنى ئىياد مۇنداق دەيدۇ: "ئىمام ئەبۇھەنىفە فىقىھ ساھەسىدە تونۇلغان كاتتا فىقھىشۇناس ئىدى، شۇنداقلا كاتتا بايلاردىن ئىدى. ئۇنىڭ قېشىغا بىر نەرسە ئۈمىد قىلىپ كەلسە، ئۇ ئۈمىد قىلىنغىنىدىن ئارتۇق ياخشىلىق قىلاتتى. كېچىلىرىنى ئىبادەت بىلەن ئۆتكۈزەتتى، ئېغىر بېسىق ئىدى، ھەتتا مەسىلىلەرگە ھالال ياكى ھارام دەپلا جاۋاپ بېرەتتى، ھەقنى كۆرسىتىپ بېرىشتە ئۈلگە ئىدى".	ʔimɑm ʔɛbuhɛnipɛniŋ zɑmɑndɑʃliridin puzɛjl ʔibni ʔijɑt mundɑq dɛjdu ʔimɑm ʔɛbuhɛnipɛ piqih sɑhɛsidɛ tonulʁɑn kɑttɑ piqhiʃunɑs ʔidi , ʃundɑqlɑ kɑttɑ bɑjlɑrdin ʔidi . ʔuniŋ qeʃiʁɑ bir nɛrsɛ ʔymit qilip kɛlsɛ , ʔu ʔymit qilinʁinidin ʔɑrtuq jɑχʃiliq qilɑtti . ket͡ʃilirini ʔibɑdɛt bilɛn ʔøtkyzɛtti , ʔeʁir besiq ʔidi , hɛttɑ mɛsililɛrɡɛ hɑlɑl jɑki hɑrɑm dɛplɑ d͡ʒɑwɑp berɛtti , hɛqni kørsitip beriʃtɛ ʔylɡɛ ʔidi .
ئەينى ۋاقىتتا باغدادتا تەسىس قىلىنغان ”بەيتۇل ھېكمەت“ مانا مۇشۇنداق شارائىتتا مەيدانغا كېلىپ، ئىنسانىيەتنىڭ قەدىمىي يازما مەدەنىيىتىنى قېزىش، ساقلاپ قېلىش، تەتقىق قىلىش، تەرەققىي قىلدۇرۇش جەھەتتە ئالەمشۇمۇل تۆھپە قوشۇپ، ئەرەبلەردە مەيدانغا كەلگەن ”ئوتتۇرا ئەسىردىكى ئىلىم-پەننىڭ بۇلىقى، ئەقىل-پاراسەتنىڭ خەزىنىسى، ئالىملارنىڭ مۇقەددەس قەسرى“ دېگەندەك شان-شەرەپلەر بىلەن ناملانغان.	ʔɛjni wɑqittɑ bɑʁdɑdtɑ tɛsis qilinʁɑn bɛjtul hekmɛt mɑnɑ muʃundɑq ʃɑrɑʔittɑ mɛjdɑnʁɑ kelip , ʔinsɑnijɛtniŋ qɛdimij jɑzmɑ mɛdɛnijitini qeziʃ , sɑqlɑp qeliʃ , tɛtqiq qiliʃ , tɛrɛqqij qilduruʃ d͡ʒɛhɛttɛ ʔɑlɛmʃumul tøhpɛ qoʃup , ʔɛrɛblɛrdɛ mɛjdɑnʁɑ kɛlɡɛn ʔotturɑ ʔɛsirdiki ʔilim pɛnniŋ buliqi , ʔɛqil pɑrɑsɛtniŋ χɛzinisi , ʔɑlimlɑrniŋ muqɛddɛs qɛsri deɡɛndɛk ʃɑn ʃɛrɛplɛr bilɛn nɑmlɑnʁɑn .
ئامۇ دەرياسى بىلەن سىر دەرياسى ئارىسىغا جايلاشقان ماۋرەئۈننەھرى رايونى مۇھىم ئىلىم مەركەزلىرىنىڭ ئالدىنقى قاتارىدا تۇرۇپ كەلگەن. سەمەرقەند، بۇخارا، شاش(تاشكەنت)، فەرغانە، ئەندىجان، خوقاند، خارەزم قاتارلىق جايلارنى بۇنىڭغا مىسال قىلىپ كۆرسىتىشكە بولىدۇ. بۈگۈنكى كۈندە ئۆزبەكىستان مەمۇرىي جە ھەتتە ئون ئىككى رايون(ۋىلايەت)كە ئايرىلغان.	ʔɑmu dɛrjɑsi bilɛn sir dɛrjɑsi ʔɑrisiʁɑ d͡ʒɑjlɑʃqɑn mɑwrɛʔynnɛhri rɑjoni muhim ʔilim mɛrkɛzliriniŋ ʔɑldinqi qɑtɑridɑ turup kɛlɡɛn . sɛmɛrqɛnt , buχɑrɑ , ʃɑʃ tɑʃkɛnt , pɛrʁɑnɛ , ʔɛndid͡ʒɑn , χoqɑnt , χɑrɛzm qɑtɑrliq d͡ʒɑjlɑrni buniŋʁɑ misɑl qilip kørsitiʃkɛ bolidu . byɡynki kyndɛ ʔøzbɛkistɑn mɛmurij d͡ʒɛ hɛttɛ ʔon ʔikki rɑjon wilɑjɛt kɛ ʔɑjrilʁɑn .
4- ھۇد ياكى 4- ڧېۋرال ۋە ياكى 2- ئاينىڭ 4- كۈنى، مىلادى تەقۋىمىگە كۆرە يىلنىڭ 35. كۈنىدۇر. يىل سوڭىغا 330 (كەبىسە يىللارى 331) كۈن بار.	tøtint͡ʃi hut jɑki tøtint͡ʃi pewrɑl wɛ jɑki ʔikkint͡ʃi ʔɑjniŋ tøtint͡ʃi kyni , milɑdi tɛqwimiɡɛ kørɛ jilniŋ ʔottuz bɛʃ . kynidur . jil soŋiʁɑ ʔyt͡ʃ jyz ʔottuz kɛbisɛ jillɑri ʔyt͡ʃ jyz ʔottuz bir kyn bɑr .
بول-+ ۇپ + دۇر + سەن = بوپسەن، بوپسىز، بوپتىلا	bol up dur sɛn bopsɛn , bopsiz , boptilɑ
18- ئۈمىد ياكى 18- ئاپرېل ۋە ياكى 4- ئاينىڭ 18- كۈنى، مىلادى تەقۋىم بويىچە يىلنىڭ 108. (كەبىسە يىللاردا 109.) كۈنىدۇر. يىل سوڭىغا يەنە 257 كۈن باردۇر.	ʔon sɛkkizint͡ʃi ʔymit jɑki ʔon sɛkkizint͡ʃi ʔɑprel wɛ jɑki tøtint͡ʃi ʔɑjniŋ ʔon sɛkkizint͡ʃi kyni , milɑdi tɛqwim bojit͡ʃɛ jilniŋ jyz sɛkkiz . kɛbisɛ jillɑrdɑ jyz toqquz . kynidur . jil soŋiʁɑ jɛnɛ ʔikki jyz ʔɛllik jɛttɛ kyn bɑrdur .
تېرىم يېزىسى (پەيزاۋات ناھىيىسى)، قەشقەر ۋىلايىتى پەيزاۋات ناھىيىسى قارمىقىدىكى يېزا؛	terim jezisi pɛjzɑwɑt nɑhijisi , qɛʃqɛr wilɑjiti pɛjzɑwɑt nɑhijisi qɑrmiqidiki jezɑ ,
بىز يەنە مەرھۇم ئابدۇلئەھەد مەخسۇم توغرىدا تېخىمۇ كۆپ مەلۇماتقا ئېرىشىش ئۈچۈن ئۇنىڭ شاگىرتلىرىدىن ھازىر ئىستانبۇلدا ياشاۋاتقان دىنى ئۆلىما ئابدۇللا قارىم، مۇھەممەد ئىمىن قارىم ۋە ئەخمەتجان داموللام بىلەن سۆھبەت ئېلىپ باردۇق.	biz jɛnɛ mɛrhum ʔɑbdulʔɛhɛt mɛχsum toʁridɑ teχimu køp mɛlumɑtqɑ ʔeriʃiʃ ʔyt͡ʃyn ʔuniŋ ʃɑɡirtliridin hɑzir ʔistɑnbuldɑ jɑʃɑwɑtqɑn dini ʔølimɑ ʔɑbdullɑ qɑrim , muhɛmmɛt ʔimin qɑrim wɛ ʔɛχmɛtd͡ʒɑn dɑmollɑm bilɛn søhbɛt ʔelip bɑrduq .
جەنۇبىي ئاۋسترالىيە ئىسلام جەمئىيىتى نىڭ مەسئۇلى	d͡ʒɛnubij ʔɑwstrɑlijɛ ʔislɑm d͡ʒɛmʔijiti niŋ mɛsʔuli
2017- يىلىدىن باشلاپ مەركىزىي كومىتېت سىياسىي بىيۇروسى دائىمىي كومىتېتىنىڭ ئەزاسى، شاڭخەي شەھەرلىك پارتكومنىڭ شۇجىسى.	ʔikki miŋ ʔon jɛttint͡ʃi jilidin bɑʃlɑp mɛrkizij komitet sijɑsij bijurosi dɑʔimij komitetiniŋ ʔɛzɑsi , ʃɑŋχɛj ʃɛhɛrlik pɑrtkomniŋ ʃud͡ʒisi .
2004- يىلىدىن 2007- يىلىغىچە گۇاڭشى جۇاڭزۇ ئاپتونوم رايونلۇق پارتكومنىڭ مۇئاۋىن شۇجىسى، ئاپتونوم رايونلۇق ھۆكۈمەتنىڭ مۇئاۋىن رەئىسى، پارتگۇرۇپپىسىنىڭ مۇئاۋىن شۇجىسى بولغان.	ʔikki miŋ tøtint͡ʃi jilidin ʔikki miŋ jɛttint͡ʃi jiliʁit͡ʃɛ ɡuɑŋʃi d͡ʒuɑŋzu ʔɑptonom rɑjonluq pɑrtkomniŋ muʔɑwin ʃud͡ʒisi , ʔɑptonom rɑjonluq høkymɛtniŋ muʔɑwin rɛʔisi , pɑrtɡuruppisiniŋ muʔɑwin ʃud͡ʒisi bolʁɑn .
قوڭغۇراق — ئۇيغۇرلارنىڭ دۇنيا مەدەنىيەت تەرەققىيات ئىشلىرىغا قوشقان يەنە بىر ئۇلۇغ تۆھپىسى بولۇپ ، ئۇ دۇنيا غەيرى ماددىي مەدەنىيەت مىراسلىرى قاتارىغا قوشۇلۇشقا مۇناسىپ .	qoŋʁurɑq ʔujʁurlɑrniŋ dunjɑ mɛdɛnijɛt tɛrɛqqijɑt ʔiʃliriʁɑ qoʃqɑn jɛnɛ bir ʔuluʁ tøhpisi bolup , ʔu dunjɑ ʁɛjri mɑddij mɛdɛnijɛt mirɑsliri qɑtɑriʁɑ qoʃuluʃqɑ munɑsip .
8. ماددا: 2004-يىلى 9-ئاينىڭ 14-كۈنى ئامېرىكا قوشما شىتاتلىرىنىڭ پايتەختى ۋاشىڭتوندا قۇرۇلغان سۈرگۈندى ھۆكۈمەت، ۋەتىنىمىز تاجاۋۇزچى خىتاي ھاكىمىيىتىنىڭ قولىدىن ئازات بولغانغا قەدەر شەرقىي تۈركىستان خەلقىگە ۋاكالىتەن ھوقۇق يۈرگۈزىدىغان، شەرقىي تۈركىستان جۇمھۇرىيىتىگە ۋەكىللىك قىلىدىغان بىردىن-بىر ھوقۇقلۇق ئورگان بولۇپ ھىساپلىنىدۇ.	sɛkkiz . mɑddɑ ʔikki miŋ tøtint͡ʃi jili toqquzint͡ʃi ʔɑjniŋ ʔon tøtint͡ʃi kyni ʔɑmerikɑ qoʃmɑ ʃitɑtliriniŋ pɑjtɛχti wɑʃiŋtondɑ qurulʁɑn syrɡyndi høkymɛt , wɛtinimiz tɑd͡ʒɑwuzt͡ʃi χitɑj hɑkimijitiniŋ qolidin ʔɑzɑt bolʁɑnʁɑ qɛdɛr ʃɛrqij tyrkistɑn χɛlqiɡɛ wɑkɑlitɛn hoquq jyrɡyzidiʁɑn , ʃɛrqij tyrkistɑn d͡ʒumhurijitiɡɛ wɛkillik qilidiʁɑn birdin bir hoquqluq ʔorɡɑn bolup hisɑplinidu .
ناسداك، تۇلۇق نامى پۈتۈن ئامېرىكا مەملىكەتلىك ئاكسىيە سودىگەرلىرى جەمئىيىتىنىڭ بارلىق ئاپتوماتىك باھا مەلۇم قىلىش جەدۋىلى، ئامېرىكىنىڭ بىر ئېلېكتىرونلۇق ئاكسىيە سودىسى ئاپپاراتلىرى.	nɑsdɑk , tuluq nɑmi pytyn ʔɑmerikɑ mɛmlikɛtlik ʔɑksijɛ sodiɡɛrliri d͡ʒɛmʔijitiniŋ bɑrliq ʔɑptomɑtik bɑhɑ mɛlum qiliʃ d͡ʒɛdwili , ʔɑmerikiniŋ bir ʔelektironluq ʔɑksijɛ sodisi ʔɑppɑrɑtliri .
1. باكتىرىيەلەرگە قارشى تەسىرى: ئالتۇن رەڭلىك شارسىمان باكتېرىيە، كىزىك تاياقچە باكتېرىيسى، تولغاق تاياقچە باكتېرىيلەرنى تورمۇزلاش تەسىرىگە ئىگە.	bir . bɑktirijɛlɛrɡɛ qɑrʃi tɛsiri ʔɑltun rɛŋlik ʃɑrsimɑn bɑkterijɛ , kizik tɑjɑqt͡ʃɛ bɑkterijsi , tolʁɑq tɑjɑqt͡ʃɛ bɑkterijlɛrni tormuzlɑʃ tɛsiriɡɛ ʔiɡɛ .
