He kūlanakauhale ʻo Hilo (nūatīawa ʻōlelo pelekane) — ma ka mokupuni ʻo Hawaiʻi.	he kuːlanakauhale ʔo hilo nuːakiːawa ʔoːlelo pelekane ma ka mokupuni ʔo hawaiʔi .
Ua hānau ʻia ʻo Joyce ma Hulinean i loko o ka ʻohana ma waena waena. He haumana kamaliʻi, ua hele pōkole ʻo ia i — ma mua o ka hoʻomaikaʻi ʻana i kula, ʻoiai ʻo ke ola ʻohana kaiaulu i kau ʻia e ka waiwai kālā ʻole ʻia a kona makuakāne. Hele akula ʻo ia i ke komo ʻana Keawahine-kolosaupalin.	ua haːnau ʔia ʔo koike ma hulinean i loko o ka ʔohana ma waena waena . he haumana kamaliʔi , ua hele poːkole ʔo ia i ma mua o ka hoʔomaikaʔi ʔana i kula , ʔoiai ʔo ke ola ʔohana kaiaulu i kau ʔia e ka waiwai kaːlaː ʔole ʔia a kona makuakaːne . hele akula ʔo ia i ke komo ʔana keawahinekolokaupalin .
ʻO kahi hui kālā ua hoʻokumu ʻia ma 1999, hele mai i loko o ka ikaika piha o ka makahiki 2002, a i hoʻokumu ʻia i nā mokuʻāina 19 ʻUnionlelo ʻEulopa e hoʻohana ana i ka ʻeuro kālā.	ʔo kahi hui kaːlaː ua hoʔokumu ʔia ma hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːiwa , hele mai i loko o ka ikaika piha o ka makahiki ʔelua kaukani ʔelua , a i hoʔokumu ʔia i naː mokuʔaːina ʔumikuːmaːiwa ʔunionlelo ʔeulopa e hoʔohana ana i ka ʔeulo kaːlaː .
Ekauko Alpalla (), inoa wokele Mih Pia (, hānau ma: 1939 — make ma: San Paulu, 3 Iune 2020) — he mea kalianelini mai palakiahine.	ekauko alpalla , inoa wokele mih pia , haːnau ma , hoʔokahi kaukani ʔeiwa haneli kanakolukuːmaːiwa make ma , kan paulu , ʔekolu iune ʔelua kaukani iwakaːlua he mea kalianelini mai palakiahine .
ʻO ke keʻokeʻo ma ka hae he hōʻailona, pili i ka lole maʻamau ma ke kenekulia 19 a me he hōʻailona no ka maluhia me ka maʻemaʻe. ʻO ka pōʻai hapa ʻulaʻula, hapa uliuli, he hōʻailona no ka ka lōkahi ma ka honua a me ka Yin & Yang. ʻO ka uliuli ka mana ʻiʻo ʻole (Yin) a ka ʻulaʻula ka mana ʻiʻo (Yang).	ʔo ke keʔokeʔo ma ka hae he hoːʔailona , pili i ka lole maʔamau ma ke kenekulia ʔumikuːmaːiwa a me he hoːʔailona no ka maluhia me ka maʔemaʔe . ʔo ka poːʔai hapa ʔulaʔula , hapa uliuli , he hoːʔailona no ka ka loːkahi ma ka honua a me ka iin a me iank . ʔo ka uliuli ka mana ʔiʔo ʔole iin a ka ʔulaʔula ka mana ʔiʔo iank .
ʻO Helewan (, ) ke kapikala a me kūlanakauhale nui o ka ʻāina o ʻĀmēnia. I ka makahiki 2020, ʻo 1,086,275 ka heluna kānaka.	ʔo helewan , ke kapikala a me kuːlanakauhale nui o ka ʔaːina o ʔaːmeːnia . i ka makahiki ʔelua kaukani iwakaːlua , ʔo hoʔokahi miliona kanawalukuːmaːono kaukani ʔelua haneli kanahikukuːmaːlima ka heluna kaːnaka .
Ua hānau ʻia ʻo Josh Green ma Kingston, Nuioka i ka lā 11 Pepeluali 1970. Ua hele ʻo ia i ke kulanui ʻo Swarthmore College a loaʻa iā ia kāna kēkelē BS. Ma hope, ua loaʻa iā ia kāna kēkelē kauka mai Pennsylvania State University.	ua haːnau ʔia ʔo kokh kleen ma kinkkkon , nuioka i ka laː ʔumikuːmaːkahi pepeluali hoʔokahi kaukani ʔeiwa haneli kanahiku . ua hele ʔo ia i ke kulanui ʔo kwalkhmole kolleke a loaʔa iaː ia kaːna keːkeleː pk . ma hope , ua loaʔa iaː ia kaːna keːkeleː kauka mai pennkilwania kkake uniwelkiki .
Kūkulu i nā ʻaelike maluhia o Camp David ma waena o ʻIseraʻela a me ʻAikupika	kuːkulu i naː ʔaelike maluhia o kamp kawik ma waena o ʔikelaʔela a me ʔaikupika
ʻO Club Olimpia he ʻōlapa pôpeku ʻPalakuae.	ʔo klup olimpia he ʔoːlapa popeku ʔpalakuae .
I ka makahiki 1900, ua lilo ka hui caste i ʻano hana nui e kūleʻa ai no nā pono kaiāulu a me nā politika. No laila, ua hoʻokumu ʻia kahi hui o ka caste o nā kime ʻike politika i kēia manawa. E like me Koeri, Kurmi a me Yadav kaiāulu, ua hana ʻo Paswans i kā lākou Paswan Sabha ponoʻī i 1911 e hoʻopiʻi i ke kūlana Kshatriya. ʻO lākou ka mea ma waena o Dalits e hoʻokō i kēia mele.	i ka makahiki hoʔokahi kaukani ʔeiwa haneli , ua lilo ka hui kakke i ʔano hana nui e kuːleʔa ai no naː pono kaiaːulu a me naː polikika . no laila , ua hoʔokumu ʔia kahi hui o ka kakke o naː kime ʔike polikika i keːia manawa . e like me koeli , kulmi a me iakaw kaiaːulu , ua hana ʔo pakwank i kaː laːkou pakwan kapha ponoʔiː i hoʔokahi kaukani ʔeiwa haneli ʔumikuːmaːkahi e hoʔopiʔi i ke kuːlana kkhakliia . ʔo laːkou ka mea ma waena o kalikk e hoʔokoː i keːia mele .
Ma ʻApelila 30, 2016, ua hoʻomaopopo ʻo Guinness World Records i kahi moʻolelo hou o 2,252.4 m (2,463.3 yd). Ua holo ka mana o ka Flyboard Air e ka ʻenekini jet jet, a ua hoʻohana ʻia ia Franky Zapata, ma Sausset-les-Pins, Palani e paʻi i ka moʻolelo mua ma kahi o 2 km (2,200 yd).	ma ʔapelila kanakolu , ʔelua kaukani ʔumikuːmaːono , ua hoʔomaopopo ʔo kuinnekk wollk lekolkk i kahi moʔolelo hou o ʔelua kaukani ʔelua haneli kanalimakuːmaːlua ʔehaː mika ʔelua kaukani ʔehaː haneli kanaonokuːmaːkolu ʔekolu ik . ua holo ka mana o ka plipoalk ail e ka ʔenekini kek kek , a ua hoʔohana ʔia ia planki kapaka , ma kaukkeklekpink , palani e paʔi i ka moʔolelo mua ma kahi o ʔelua kilomika ʔelua kaukani ʔelua haneli ik .
Kānaka Moriori : Rēkohu - c. 738 (2013 Helu Kanaka Nukīlani)	kaːnaka molioli , leːkohu k . ʔehiku haneli kanakolukuːmaːwalu ʔelua kaukani ʔumikuːmaːkolu helu kanaka nukiːlani
ʻO ka humuhumunukunukuāpuaʻa () kahi ʻano iʻa i loaʻa ma Hawaiʻi.	ʔo ka humuhumunukunukuaːpuaʔa kahi ʔano iʔa i loaʔa ma hawaiʔi .
Krasina, raconta del subterrania del Moravian carst, paʻi ʻia ma 1938 na Jan Amos Kajš .	klakina , lakonka kel kupkellania kel molawian kalkk , paʔi ʔia ma hoʔokahi kaukani ʔeiwa haneli kanakolukuːmaːwalu na kan amok kakk .
Manaʻo ʻo Mabena e hoʻomākaukau kāna kula i nā haumāna e komo i kahi honua olakino a me ka hoʻohua o ke kiʻiʻoniʻoni a me ke kīwī.Ua ʻōlelo ʻo ia he kula ʻo ʻApelika Hema i loaʻa i nā makana he nui a kākoʻo ʻia e nā ʻoihana ʻoliʻoli a me nā ʻoihana kelepona, ʻoihana nui a me ke aupuni.	manaʔo ʔo mapena e hoʔomaːkaukau kaːna kula i naː haumaːna e komo i kahi honua olakino a me ka hoʔohua o ke kiʔiʔoniʔoni a me ke kiːwiː . ua ʔoːlelo ʔo ia he kula ʔo ʔapelika hema i loaʔa i naː makana he nui a kaːkoʔo ʔia e naː ʔoihana ʔoliʔoli a me naː ʔoihana kelepona , ʔoihana nui a me ke aupuni .
ʻO Nevėžis (Futbolo klubas Nevėžis) he kime Lituania.	ʔo newekik pukpolo klupak newekik he kime likuania .
Linda Ballantyne — Lady Lydia / Sgt Pooch / Mayor Sniffington / Leader Dog / Waggs Martinez	linka pallankine laki likia kkk pookh maiol knippinkkon leakel kok wakkk malkinek
Ua ʻae ʻia ka hae o kēia manawa ma Iulai 22, 1999 e ka hoʻoholo a ka Belgorod City Council of Deputies No. 321 a komo i loko o ka State Heraldic Register o ka Russian Federation me ka helu inoa 978 ma 2002.	ua ʔae ʔia ka hae o keːia manawa ma iulai iwakaːluakuːmaːlua , hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːiwa e ka hoʔoholo a ka pelkolok kiki kounkil op kepukiek no . ʔekolu haneli iwakaːluakuːmaːkahi a komo i loko o ka kkake helalkik lekikkel o ka lukkian pekelakion me ka helu inoa ʔeiwa haneli kanahikukuːmaːwalu ma ʔelua kaukani ʔelua .
Ua hānau ʻia ʻo ia i loko o kahi ʻohana Hindu o Mr. Satish Shrivastava lāua ʻo Mrs. Reena ma Ranchi, ke kapikala o Jharkhand.	ua haːnau ʔia ʔo ia i loko o kahi ʔohana hinku o ml . kakikh khliwakkawa laːua ʔo mlk . leena ma lankhi , ke kapikala o khalkhank .
I ka makahiki 2023, ʻo 1,445,648 ka heluna kānaka.ʻO ia ke kapikala mua o Yamashiro.	i ka makahiki ʔelua kaukani iwakaːluakuːmaːkolu , ʔo hoʔokahi miliona ʔehaː haneli kanahaːkuːmaːlima kaukani ʔeono haneli kanahaːkuːmaːwalu ka heluna kaːnaka . ʔo ia ke kapikala mua o iamakhilo .
Ka hale Keaka o Thorikos ( ), aia ma ka ʻākau o Lavrio, he hale kiʻiʻoniʻoni Helene kahiko i nā demos o Thorikos ma Attica, Helene. ʻO ia kekahi o nā hale kiʻiʻoniʻoni Helene kahiko loa a ua kūkulu ʻia ma kahi o 525–480 BC. He ʻokoʻa ka hale keaka i kona hoʻolālā ʻana, no ka mea, ua hoʻolōʻihi ʻia ʻo ia ma mua o ka semicircle maʻamau.	ka hale keaka o kholikok , aia ma ka ʔaːkau o lawlio , he hale kiʔiʔoniʔoni helene kahiko i naː kemok o kholikok ma akkika , helene . ʔo ia kekahi o naː hale kiʔiʔoniʔoni helene kahiko loa a ua kuːkulu ʔia ma kahi o ʔelima haneli iwakaːluakuːmaːlima , ʔehaː haneli kanawalu pk . he ʔokoʔa ka hale keaka i kona hoʔolaːlaː ʔana , no ka mea , ua hoʔoloːʔihi ʔia ʔo ia ma mua o ka kemikilkle maʔamau .
ʻO "Solsbury Hill" ka mea mele mua loa a ka mea hoʻokani pila Pelekane ʻo Peter Gabriel.	ʔo kolkpuli hill ka mea mele mua loa a ka mea hoʔokani pila pelekane ʔo pekel kapliel .
ʻIke ʻo Klitschko nā ʻōlelo ʻUkelena, ʻōlelo Lūkini, ʻōlelo Pelekania a ʻōlelo Kelemānia. Ua male ʻo ia i kāna wahine ma waena o 1996 a me 2022. He ʻekolu keina a lāua. He kaikaina kona ʻo Volodymyr he mea mokomkoko poʻokela ʻUkelena.	ʔike ʔo klikkkhko naː ʔoːlelo ʔukelena , ʔoːlelo luːkini , ʔoːlelo pelekania a ʔoːlelo kelemaːnia . ua male ʔo ia i kaːna wahine ma waena o hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːono a me ʔelua kaukani iwakaːluakuːmaːlua . he ʔekolu keina a laːua . he kaikaina kona ʔo wolokimil he mea mokomkoko poʔokela ʔukelena .
Ma kēia manawa, he 737,015 kānaka e noho ana ma Seattle (2020 Census). He nui nā ʻano lāhui like ʻole e noho pū ana ma ke kūlanakauhale. He wahi koʻikoʻi no ka hoʻonaʻauao kiʻekiʻe, me ke Kulanui o Wakinekona.	ma keːia manawa , he ʔehiku haneli kanakolukuːmaːhiku kaukani ʔumikuːmaːlima kaːnaka e noho ana ma keakkle ʔelua kaukani iwakaːlua kenkuk . he nui naː ʔano laːhui like ʔole e noho puː ana ma ke kuːlanakauhale . he wahi koʔikoʔi no ka hoʔonaʔauao kiʔekiʔe , me ke kulanui o wakinekona .
Ua ʻo Santiago Peña ka pelekikena o Palakuai mai ka makahiki 2023. Hoʻomaopopo ʻo Palakuai i ke kūʻokoʻa o Taiuana.	ua ʔo kankiako pena ka pelekikena o palakuai mai ka makahiki ʔelua kaukani iwakaːluakuːmaːkolu . hoʔomaopopo ʔo palakuai i ke kuːʔokoʔa o kaiuana .
Ua hānau ʻia ʻo ia i ʻApelila 1, 1968. ʻŌlelo ka ʻohana o Stubb i nā ʻŌlelo Pinilana a me ʻŌlelo Kuekene. Ua ʻo Stubb ke Kuhina Nui o Pinilana ma waena o 2014 a me 2015.	ua haːnau ʔia ʔo ia i ʔapelila ʔekahi , hoʔokahi kaukani ʔeiwa haneli kanaonokuːmaːwalu . ʔoːlelo ka ʔohana o kkupp i naː ʔoːlelo pinilana a me ʔoːlelo kuekene . ua ʔo kkupp ke kuhina nui o pinilana ma waena o ʔelua kaukani ʔumikuːmaːhaː a me ʔelua kaukani ʔumikuːmaːlima .
The Silmarillion (1977) - Ka moʻolelo o ka hana ʻana o Middle-earth	khe kilmalillion hoʔokahi kaukani ʔeiwa haneli kanahikukuːmaːhiku ka moʔolelo o ka hana ʔana o mikkleealkh
Sherlock Hound (1984-1985) - Luna hoʻonohonoho	khellokk hounk hoʔokahi kaukani ʔeiwa haneli kanawalukuːmaːhaː , hoʔokahi kaukani ʔeiwa haneli kanawalukuːmaːlima luna hoʔonohonoho
I ka makahiki 1889, hoʻokumu ʻo Fusajiro Yamauchi i kekahi hui pāʻani papa i kapa ʻia ʻo "Nintendo Koppai" no ka hana ʻana i nā pāpā pāʻani hanafuda. Ma hope o ke kenekulia 20, ua hoʻololi ka hui i kāna ʻoihana a hoʻomaka i ka hana ʻana i nā pāʻani wikiō.	i ka makahiki hoʔokahi kaukani ʔewalu haneli kanawalukuːmaːiwa , hoʔokumu ʔo pukakilo iamaukhi i kekahi hui paːʔani papa i kapa ʔia ʔo ninkenko koppai no ka hana ʔana i naː paːpaː paːʔani hanapuka . ma hope o ke kenekulia iwakaːlua , ua hoʔololi ka hui i kaːna ʔoihana a hoʔomaka i ka hana ʔana i naː paːʔani wikioː .
Ma ka wā ma hope o ka Kaua Nui Mua, ke ola nei ʻo Marco Pagot ma kekahi mokupuni liʻiliʻi ma ka Kai ʻĀkau ʻIkālia. He pahī mokulele kaulana ʻo ia i hoʻololi ʻia i puaʻa ma muli o kekahi hoʻomalaia pohihihi. ʻO Porco Rosso (ka Puaʻa ʻUlaʻula) kona inoa hou, a hana ʻo ia ma ke ʻano he bounty hunter, e hakakā ana i nā pō mokulele ma ka ʻāina kai.	ma ka waː ma hope o ka kaua nui mua , ke ola nei ʔo malko pakok ma kekahi mokupuni liʔiliʔi ma ka kai ʔaːkau ʔikaːlia . he pahiː mokulele kaulana ʔo ia i hoʔololi ʔia i puaʔa ma muli o kekahi hoʔomalaia pohihihi . ʔo polko lokko ka puaʔa ʔulaʔula kona inoa hou , a hana ʔo ia ma ke ʔano he pounki hunkel , e hakakaː ana i naː poː mokulele ma ka ʔaːina kai .
Ka hoʻāʻo kaulana ma ka Hale Hoʻokolokolo o Pisa	ka hoʔaːʔo kaulana ma ka hale hoʔokolokolo o pika
NFL Draft: Kahi e koho ai nā hui i nā pāʻani hou	npl klapk , kahi e koho ai naː hui i naː paːʔani hou
Steve Largent (1976-1989) - Wide Receiver	kkewe lalkenk hoʔokahi kaukani ʔeiwa haneli kanahikukuːmaːono , hoʔokahi kaukani ʔeiwa haneli kanawalukuːmaːiwa wike lekeiwel
Ke aʻo ʻana i nā hanauna hou i ka mele Hawaiʻi	ke aʔo ʔana i naː hanauna hou i ka mele hawaiʔi
Red Wizards of Thay: He hui magic mai ka ʻāina ʻo Thay	lek wikalkk op khai , he hui makik mai ka ʔaːina ʔo khai
Ka Makana Facing Race Ambassador no ka hoʻoponopono ʻana i ka hoʻokae lāhui (2003)	ka makana pakink lake ampakkakol no ka hoʔoponopono ʔana i ka hoʔokae laːhui ʔelua kaukani ʔekolu
Hāmeʻa Kiʻekiʻe – Hōʻike Mele a Hōʻoluʻolu (Steve Carell, 2006)	haːmeʔa kiʔekiʔe hoːʔike mele a hoːʔoluʔolu kkewe kalell , ʔelua kaukani ʔeono
Ua hana pū ʻo ia me ka Hawaiʻi Lifeguard Association a ua lilo i lifeguard mua ma Mākaha. He mea hoʻonaʻauao ʻo ia no ka maʻi ʻai pehu, a ua kamaʻilio pinepine ʻo ia i nā hui like ʻole e pili ana i kēia kumuhana koʻikoʻi.	ua hana puː ʔo ia me ka hawaiʔi lipekualk akkokiakion a ua lilo i lipekualk mua ma maːkaha . he mea hoʔonaʔauao ʔo ia no ka maʔi ʔai pehu , a ua kamaʔilio pinepine ʔo ia i naː hui like ʔole e pili ana i keːia kumuhana koʔikoʔi .
"E hoʻomaopopo, e aʻo ʻoe, akā ʻaʻole nāu e hāʻawi aku a hiki i ka wā e ʻae mai ai kou kumu"	e hoʔomaopopo , e aʔo ʔoe , akaː ʔaʔole naːu e haːʔawi aku a hiki i ka waː e ʔae mai ai kou kumu
Ua hōʻike ʻia kāna mau hana ma nā wahi like ʻole:	ua hoːʔike ʔia kaːna mau hana ma naː wahi like ʔole ,
Wehe ʻia ke kahua Duolingo no ka ʻōlelo Hawaiʻi.	wehe ʔia ke kahua kuolinko no ka ʔoːlelo hawaiʔi .
Sadie Sink as Max Mayfield - He kaikamahine ikaika i neʻe mai mai California i Hawkins ma ke kau ʻelua. Lilo ʻo ia i lālā o ka hui keiki a hoʻomaka kekahi pilina me Lucas, ʻoiai e hakakā ana me kona moʻolelo ʻohana pilikia.	kakie kink ak mak maipielk he kaikamahine ikaika i neʔe mai mai kalipolnia i hawkink ma ke kau ʔelua . lilo ʔo ia i laːlaː o ka hui keiki a hoʔomaka kekahi pilina me lukak , ʔoiai e hakakaː ana me kona moʔolelo ʔohana pilikia .
A Nightmare on Elm Street - Ka mana o Vecna ma luna o nā moeʻuhane	a nikhkmale on elm kkleek ka mana o wekna ma luna o naː moeʔuhane
The 100 He moʻolelo o ka wā e hiki mai ana ma hope o ka pōʻino nui. Hoʻouna ʻia he haneli po'e ʻōpio hewa i ka Honua mai kekahi waʻa lewa lani mai, e ʻimi ana i ka hiki ke noho hou ʻia ka Honua. Hakakā lākou no ke ola ʻana a kūkā pū me nā kānaka i noho mua ma ka Honua. Ua hoʻololi ʻia mai nā puke a Kass Morgan mai.	khe hoʔokahi haneli he moʔolelo o ka waː e hiki mai ana ma hope o ka poːʔino nui . hoʔouna ʔia he haneli poʔe ʔoːpio hewa i ka honua mai kekahi waʔa lewa lani mai , e ʔimi ana i ka hiki ke noho hou ʔia ka honua . hakakaː laːkou no ke ola ʔana a kuːkaː puː me naː kaːnaka i noho mua ma ka honua . ua hoʔololi ʔia mai naː puke a kakk molkan mai .
Extraction He kiʻi ʻoniʻoni action me Chris Hemsworth ma ke ʻano he mercenary e hoʻāʻo ana e hoʻopakele i ke keiki a kahi drug lord mai Bangladesh. Kaulana no kona mau scene hakakā lōʻihi a me ka hoʻohana ʻana i ka ʻenehana kiʻi hou. Ua nānā ʻia e 99 miliona mau home i ka mahina mua.	ekklakkion he kiʔi ʔoniʔoni akkion me khlik hemkwolkh ma ke ʔano he melkenali e hoʔaːʔo ana e hoʔopakele i ke keiki a kahi kluk lolk mai panklakekh . kaulana no kona mau kkene hakakaː loːʔihi a me ka hoʔohana ʔana i ka ʔenehana kiʔi hou . ua naːnaː ʔia e kanaiwakuːmaːiwa miliona mau home i ka mahina mua .
Brandi Chastain (ʻAmelika Hui Pū ʻIa) - Ua kaulana no kona lanakila ʻana i ka World Cup 1999	planki khakkain ʔamelika hui puː ʔia ua kaulana no kona lanakila ʔana i ka wollk kup hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːiwa
Timamonamona, i kapa ʻia ʻo "checkers" ma ka ʻōlelo Pelekania	kimamonamona , i kapa ʔia ʔo khekkelk ma ka ʔoːlelo pelekania
Ma ka ʻike o Kikiloi, he wahi e pili ana i ka pō a me ke ao ʻo Mokumanamana, kahi e hui ai ke ao mālamalama me ka pō. No laila i kapa ʻia ai ka inoa "Moku-mana-mana" e hōʻike ana i ka mana o ka wahi.	ma ka ʔike o kikiloi , he wahi e pili ana i ka poː a me ke ao ʔo mokumanamana , kahi e hui ai ke ao maːlamalama me ka poː . no laila i kapa ʔia ai ka inoa mokumanamana e hoːʔike ana i ka mana o ka wahi .
I kēia lā, ua hoʻihoʻi ʻia ka Lumi Noho Aliʻi i kona nani mua. Aia nā noho aliʻi ma ko lāua wahi mua, a e ʻike ʻia nā kāhili e kū ana me ka haʻaheo. Ua mālama ʻia kēlā me kēia mea ma kona ʻano kahiko, he hōʻike no ka hanohano o ke Aupuni Mōʻī Hawaiʻi.	i keːia laː , ua hoʔihoʔi ʔia ka lumi noho aliʔi i kona nani mua . aia naː noho aliʔi ma ko laːua wahi mua , a e ʔike ʔia naː kaːhili e kuː ana me ka haʔaheo . ua maːlama ʔia keːlaː me keːia mea ma kona ʔano kahiko , he hoːʔike no ka hanohano o ke aupuni moːʔiː hawaiʔi .
Alicia Keolahou Keawekāne Smith he kumu hula Hawaiʻi i hoʻokumu i ka Hālau o Nā Maoli Pua ma Kalihi, Oʻahu ma ka makahiki 1976. He kumu hula o ka hā o nā hanauna, a ua aʻo ʻo ia i ka hula no nā makahiki he 20 ma ka YWCA ma Honolulu. ʻO ia ka makuahine o Piʻilaniwahine Smith, kekahi o nā haumāna hula āna. He lunakanawai ʻo ia no ka ʻAha Hula ʻo Merrie Monarch, ka ʻaha hula kaulana loa o ka honua.	alikia keolahou keawekaːne kmikh he kumu hula hawaiʔi i hoʔokumu i ka haːlau o naː maoli pua ma kalihi , oʔahu ma ka makahiki hoʔokahi kaukani ʔeiwa haneli kanahikukuːmaːono . he kumu hula o ka haː o naː hanauna , a ua aʔo ʔo ia i ka hula no naː makahiki he iwakaːlua ma ka iwka ma honolulu . ʔo ia ka makuahine o piʔilaniwahine kmikh , kekahi o naː haumaːna hula aːna . he lunakanawai ʔo ia no ka ʔaha hula ʔo mellie monalkh , ka ʔaha hula kaulana loa o ka honua .
Ua hoʻohana ʻia nā māhele like ʻole o ka maiʻa. Kālua ʻia ka puaʻa me nā lau maiʻa ma ka imu, a hana ʻia nā moena me nā lau maloo. Hoʻohana ʻia nā lau no ke kāpī ʻana i ka pā hale, a hoʻohana ʻia nā puaina no ka hana lei. Ua hoʻohana ʻia nā lau no ke kaula lei a me ke kāʻei ʻana.	ua hoʔohana ʔia naː maːhele like ʔole o ka maiʔa . kaːlua ʔia ka puaʔa me naː lau maiʔa ma ka imu , a hana ʔia naː moena me naː lau maloo . hoʔohana ʔia naː lau no ke kaːpiː ʔana i ka paː hale , a hoʔohana ʔia naː puaina no ka hana lei . ua hoʔohana ʔia naː lau no ke kaula lei a me ke kaːʔei ʔana .
Hiki ke komo a hoʻohana i ka pūnaewele ma kahi o 324 mea hoʻohana i ka manawa like, me ka hoʻouna packet ʻana o kēlā me kēia mea hoʻohana ma kahi o hoʻokahi manawa i kēlā me kēia 60 kekona.	hiki ke komo a hoʔohana i ka puːnaewele ma kahi o ʔekolu haneli iwakaːluakuːmaːhaː mea hoʔohana i ka manawa like , me ka hoʔouna pakkek ʔana o keːlaː me keːia mea hoʔohana ma kahi o hoʔokahi manawa i keːlaː me keːia kanaono kekona .
He mea nui nā loina i loko o ka hoʻomana Tenrikyō. Ua hoʻokumu ʻia ka Mikagura-uta, he mele pule haipule, i ka makahiki 1866, a hana pū ʻia me ka Teodori, he hula haipule. ʻO ka Osazuke kekahi loina koʻikoʻi, he pule hoʻōla ia e mālama ʻia ana e nā kāhuna pule i hoʻopaloa ʻia. Hana ʻia ka Otefuri me ka lima, a ʻo ka Sazuke he ʻōlelo hoʻomaikaʻi haipule ia.	he mea nui naː loina i loko o ka hoʔomana kenlikioː . ua hoʔokumu ʔia ka mikakulauka , he mele pule haipule , i ka makahiki hoʔokahi kaukani ʔewalu haneli kanaonokuːmaːono , a hana puː ʔia me ka keokoli , he hula haipule . ʔo ka okakuke kekahi loina koʔikoʔi , he pule hoʔoːla ia e maːlama ʔia ana e naː kaːhuna pule i hoʔopaloa ʔia . hana ʔia ka okepuli me ka lima , a ʔo ka kakuke he ʔoːlelo hoʔomaikaʔi haipule ia .
Ma waho aʻe o ka mele, he mea hana ʻo Yankovic ma nā ʻano like ʻole o ka hana keaka a hoʻokani. Ua kākau a hoʻoponopono ʻo ia i ke kiʻi ʻoniʻoni UHF (1989), kahi āna i hōʻike ai i kona ʻano hoʻowahāwahā. ʻOiai ʻaʻole i kūleʻa loa ke kiʻi ʻoniʻoni i kona wā i hoʻopuka ʻia ai, ua lilo ia i kiʻi ʻoniʻoni cult ma hope mai.	ma waho aʔe o ka mele , he mea hana ʔo iankowik ma naː ʔano like ʔole o ka hana keaka a hoʔokani . ua kaːkau a hoʔoponopono ʔo ia i ke kiʔi ʔoniʔoni uhp hoʔokahi kaukani ʔeiwa haneli kanawalukuːmaːiwa , kahi aːna i hoːʔike ai i kona ʔano hoʔowahaːwahaː . ʔoiai ʔaʔole i kuːleʔa loa ke kiʔi ʔoniʔoni i kona waː i hoʔopuka ʔia ai , ua lilo ia i kiʔi ʔoniʔoni kulk ma hope mai .
Ua loaʻa ka ʻāpono ʻana o ʻEnelani i ke kūʻokoʻa o Hawaiʻi ma ka lā 28 Nowemapa 1843	ua loaʔa ka ʔaːpono ʔana o ʔenelani i ke kuːʔokoʔa o hawaiʔi ma ka laː iwakaːluakuːmaːwalu nowemapa hoʔokahi kaukani ʔewalu haneli kanahaːkuːmaːkolu
1995: Ua lanakila ʻo Shawn Michaels mai ka helu 1	hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːlima , ua lanakila ʔo khawn mikhaelk mai ka helu ʔekahi
WWE United States Championship (1 manawa)	wwe unikek kkakek khampionkhip ʔekahi manawa
Ma ke ʻano he mea hakakā, ua kaulana ʻo ia no kāna "Pedigree" finisher move a me kona ʻano hakakā ikaika. Ua hoʻohana pinepine ʻo ia i ka hamale hakakā ma kāna mau hakakā. He 14 manawa World Champion ʻo ia, 9 WWF/E Championships a me 5 World Heavyweight Championships, e hōʻike ana i kona kūlana kiʻekiʻe i ka mōʻaukala o WWE.	ma ke ʔano he mea hakakaː , ua kaulana ʔo ia no kaːna pekiklee pinikhel mowe a me kona ʔano hakakaː ikaika . ua hoʔohana pinepine ʔo ia i ka hamale hakakaː ma kaːna mau hakakaː . he ʔumikuːmaːhaː manawa wollk khampion ʔo ia , ʔeiwa wwp e khampionkhipk a me ʔelima wollk heawiweikhk khampionkhipk , e hoːʔike ana i kona kuːlana kiʔekiʔe i ka moːʔaukala o wwe .
Ma hope o kona hoʻomaha ʻana, ua komo ʻo Michaels i ka WWE Hall of Fame ma 2011. Ua hana ʻo ia ma ke ʻano he kumu aʻo ma ka WWE Performance Center mai 2016. Ma 2018, ua hoʻi iki ʻo ia i ka hakaka no hoʻokahi hakakā hope loa me D-Generation X e hakakā ana i The Brothers of Destruction ma Crown Jewel.	ma hope o kona hoʔomaha ʔana , ua komo ʔo mikhaelk i ka wwe hall op pame ma ʔelua kaukani ʔumikuːmaːkahi . ua hana ʔo ia ma ke ʔano he kumu aʔo ma ka wwe pelpolmanke kenkel mai ʔelua kaukani ʔumikuːmaːono . ma ʔelua kaukani ʔumikuːmaːwalu , ua hoʔi iki ʔo ia i ka hakaka no hoʔokahi hakakaː hope loa me kkenelakion k e hakakaː ana i khe plokhelk op kekklukkion ma klown kewel .
Siri: Ke kōkua leo kikohoʻe no ka hoʻohana maʻalahi	kili , ke koːkua leo kikohoʔe no ka hoʔohana maʔalahi
