# Khmer exceptions lexicon — word → canonical IPA for the RULE-UNPREDICTABLE residual (inherent-vowel length,
# internal-doubling, Pali/Sanskrit loanword vowels). Consumed dict-first by the shipped phonemizeWord ONLY;
# phonemizeWordRules (the referee-eval signal) never reads it, so the eval stays non-circular.
# Source: wikipron khm_khmr broad (human, from Wiktionary — CC-BY-SA 3.0), modal transcription per word,
# canonicalised (breve→plain, short-low a→ɑ, optional medial ʔ dropped). Generated by tools/gen/build-km-lexicon.mts.
កក្កដា	kɑkɑɗaː
នយោបាយ	neəjoːɓaːj
នរក	nɔruəʔ
នរកកុណ្ឌ	neəreəkɑkon
នលាដ	neəliət
នហារុ	neəhaːruʔ
នាក់	neəʔ
នាដកថា	niəɗɑkɑtʰaː
នានត្ត	niənɑt
នាមប័ណ្ណ	niəmeəɓɑn
នាយក	niəjuəʔ
នាយកដ្ឋាន	niəjuəkɑttʰaːn
នាយករដ្ឋមន្ត្រី	niəjuəroətmuəntrəj
នាលិ	niəl
នាវាចរ	niəʋiəcɑː
នាវិកបតី	niəʋikɑpɑɗəj
នាឡិកា	niəlekaː
និកម្មភាព	nikɑmmɑpʰiəp
និករ	nikɑː
និកាយ	nikaːj
និកូត៍រស	nikouruəh
និក្ខមនំ	nɨkkʰɑmɑnɑŋ
និក្ខេបបទ	nɨkkʰeːpɑɓɑt
និគម	nikum
និគ្គហិត	nɨkkeəhət
និច្ឆ័យ	nɨccʰaj
និជ្ជជនភាព	nɨcceəcuənpʰiəp
និទស្សន្ត	nituəhsɑn
និទាន	nitiən
និទ្ទោសកម្ម	nittoːsɑkɑm
និទ្រា	nitriə
និបាត	niɓaːt
និបាតសព្ទ	niɓaːtɑsɑp
និពន្ធ	nipuən
និព្វាន	nipiən
និមល	nimɔːl
និមិត្ត	nimɨt
និម្មាបនកម្ម	nɨmmiəpɑnɑkɑm
និម្មាបនិក	nɨmmiəpɑnɨk
និយម	nijum
និយាយ	nijiəj
និយុវដ្ឋាន	nijuʋeətʰaːn
និយោជក	nijoːcuəʔ
និយោជិត	nijoːcɨt
និយោជិតា	nijoːcitaː
និរតី	nirəɗəj
និរទេស	niteih
និរន្តរាយ	nirɑntɑraːj
និរុត្តិ	nirut
និរុត្តិសាស្ត្រ	niruttesaːh
និរៃ	nirɨj
និវត្តន៍	niʋoət
និវាសដ្ឋាន	niʋiəsɑttʰaːn
និវេទនប័ណ្ណ	niʋeiteəneəɓɑn
និសីទន	nisəjteəneəʔ
និស្សិត	nɨhsət
និស្ស័យ	nihsaj
នីការ៉ាហ្គ័រ	niːkaːraːɡoə
នីតិ	niːteʔ
នីតិបញ្ញត្តិ	niːteɓɑɲɲɑt
នីតិប្បញ្ញត្តិ	niːteɓɑɲɲɑt
នីតិវិធី	niːteʋitʰiː
នីវ៉ុ	niːʋoʔ
នីហរ័ណ	niːhɑrɑn
នីហ្សេ	niːzeː
នីហ្សេរីយ៉ា	niːzeːriːjaː
នឹងន	nɔː
នូវ	nɨw
នេត្ត	neit
នេត្រ	neit
នេត្រា	neitriə
នេន	nein
នេប៉ាល់	neipɑl
នេសាទ	neisaːt
នេអុង	neiʔoŋ
នេអូឌឹម	neiʔouɗɨm
នេះ	nih
នោះ	nuh
ន័យ	nɨj
ន័រវែស	noəʋɛːh
បក្ស	pɑʔ
បង្ក	ɓɑŋkɑː
បង្កប់	ɓɑŋkɑp
បង្គន់	ɓɑŋkuən
បង្គាប់	ɓɑŋkoəp
បង្គ្រប់	ɓɑŋkrup
បង្វិល	ɓɑŋʋɨl
បង្វេច	ɓɑŋʋɨc
បង្សុកូល	ɓɑŋskoul
បង្អង់	ɓɑŋʔɑŋ
បង្អត់	ɓɑŋʔɑt
បង្អស់	ɓɑŋʔɑh
បច្ចុគ្គមន៍	pɑccokkum
បច្ចុប្បន្ន	pɑccoɓɑn
បច្ចូស	pɑccouh
បច្ចេកទេស	pɑcceːkɑteih
បច្ចេកវិទ្យា	pɑcceːkɑʋitʰjiə
បច្ច័យ	pɑccaj
បច្ឆាញាតិ	pɑccʰaːɲiət
បច្ឆិម	pɑccʰemɑʔ
បញ្ចកោណ	pɑɲcɑkaon
បញ្ចក្ខន្ធ	pɑɲcɑkʰɑn
បញ្ចប់	ɓɑɲcɑp
បញ្ចាំង	ɓɑɲcɑŋ
បញ្ចេញ	ɓɑɲcəɲ
បញ្ជល់	ɓɑɲcuəl
បញ្ជាក់	ɓɑɲceəʔ
បញ្ជិះ	ɓɑɲcih
បញ្ឈប់	ɓɑɲcʰup
បញ្ញត្តិ	ɓɑɲɲɑt
បញ្ញា	pɑɲɲaː
បញ្ហា	pɑɲhaː
បដិច្ចសមុប្បាទ	ɓɑːɗəccɑːhmupɓaːt
បដិទិន	pɑɗetɨn
បដិបត្តិ	pɑɗeɓɑt
បដិបទា	pɑɗepɑtiə
បដិលាភ	pɑɗeliəp
បដិវត្តន៍	pɑɗeʋoət
បដិសន្ធិ	pɑɗesɑntʰiʔ
បដិសម្បហារ	pɑɗesɑmpɑhaː
បដិសរណដ្ឋាន	pɑɗesɑreənɑttʰaːn
បដិសេធ	pɑɗesaet
បដ្ដិកា	pɑtɗekaː
បឋម	pɑtʰɑmɑʔ
បឋមសិលា	pɑtʰɑmsəjlaː
បឋវី	pɑtʰɑʋiː
បណីតាហារ	pɑnəjtaːhaː
បណ្ឌិកា	pɑnɗikaː
បណ្ណង្គជាតិ	pɑnnɑŋkeəciət
បណ្ណាគារ	pɑnnaːkiə
បណ្ណាធិការ	pɑnnaːtʰikaː
បណ្ណារក្ស	pɑnnaːrɑʔ
បណ្ណាល័យ	pɑnnaːlaj
បថ	ɓɑt
បទ	ɓɑt
បទដ្ឋាន	pɑtoəttʰaːn
បទានុក្រម	pɑtiənukrɑm
បទុម	pɑtum
បទុមរាគ	pɑtumeəriəʔ
បទេស	pɑteih
បន្ត	ɓɑntɑː
បន្តក់	ɓɑntɑʔ
បន្ទប់	ɓɑntup
បន្ទាត់	ɓɑntoət
បន្ទាប់	ɓɑntoəp
បន្ទាល់	ɓɑntoəl
បន្លឺ	ɓɑnləː
បន្លំ	ɓɑnlum
បមាណីយ	pɑmaːnəj
បរទេស	ɓɑːreəteih
បរម	ɓɑrom
បរមសុខ	pɑrɑmɑsok
បរមាណូ	pɑrɑmaːnou
បរាជ័យ	pɑraːcɨj
បរាធីន	pɑraːtʰiːn
បរាមាត្រ	paːraːmiət
បរាសិត	pɑraːsət
បរិកម្ម	pɑrekɑm
បរិច្ចាគ	ɓɑːrəccaːʔ
បរិច្ឆេទ	pɑːrəccʰaet
បរិញ្ញា	pɑrɨɲɲaː
បរិញ្ញាបត្រ	pɑrəɲɲaːɓɑt
បរិនិព្វាន	ɓɑrinɨppiən
បរិបាល	pɑreɓaːl
បរិបូរ	ɓɑɓou
បរិភោគ	ɓɑːrepʰoːk
បរិមាណ	pɑremaːn
បរិយាការ	pɑrejaːkaː
បរិយាកាស	pɑrejaːkaːh
បរិយោសាន	pɑrejaosaːn
បរិលាភ	pɑreliəp
បរិវារសព្ទ	ɓɑːreʋaːsɑp
បរិវេណ	ɓɑːreʋein
បរិសិដ្ឋរោគ	pɑresəttʰɑroːk
បរិសុទ្ធ	ɓɑːresot
បរិស័ទ	ɓɑːresɑt
បរិស្ថាន	pɑrəhtʰaːn
បរិស្ថានវិទ្យា	pɑrəhtʰaːnʋɨttʰjiə
បរីក្សា	pɑrekʰsaː
បល្លង្ក	pɑllɑŋ
បល្ល័ង្ក	pɑllɑŋ
បវត្តិ	pɑʋoət
បវេណី	pɑʋeiniː
បស្ចិម	ɓɑhcəm
បស្សាវៈ	pɑhsaːʋɑʔ
បាកដាដ	ɓaːɗaːt
បាក់តេរី	ɓɑteːriː
បាក់យ៉ុង	ɓɑjoŋ
បាដិហារិយ៍	paːɗehaː
បាដិហារ្យ	paːɗehaː
បាតរាស	paːtɑraːh
បាតុកម្ម	paːtokɑm
បាតុករ	paːtokɑː
បាតុភូត	paːtopʰuːt
បាត់ដំបង	ɓɑtɗɑmɓɑːŋ
បាទចរណ៍	ɓaːteəcɑː
បានលុង	ɓaːnluŋ
បាបចិត្ត	ɓaːpɑcət
បាប៊ីឡូន	ɓaːɓiːloun
បាមោជ្ជ	paːmaoc
បារត	ɓaːrɑːt
បារមី	ɓaːreəməj
បារម្ភ	ɓaːrɑm
បារាំង	ɓaːrɑŋ
បារ៉្យូម	ɓaːrjuːm
បាល័ដ្ឋ	ɓaːlɑt
បាល័ត	ɓaːlɑt
បាវចនា	paːʋɑcɑnaː
បាវចនៈ	paːʋɑcɑnɑʔ
បាំង	ɓɑŋ
បិណ្ឌបាត	ɓənɓaːt
បិតា	ɓəjɗaː
បិតុច្ឆា	petoccʰaː
បិសាច	ɓəjsaːc
បីតិ	pəjteʔ
បុគ្គល	ɓokkeəleəʔ
បុគ្គលិក	ɓokkeəlikɑʔ
បុណ្យរ៉យ៉ា	ɓonrɑːjaː
បុព្វ	ɓoppeəʔ–
បុព្វកថា	ɓoppeəkɑtʰaː
បុព្វបទ	ɓoppeəɓɑt
បុព្វេ	ɓoppei
បុព្វោ	ɓoppoː
បុរស	ɓorɑh
បុរាណវិទ្យា	ɓoraːnʋɨttʰjiə
បុរេប្រវត្តិ	poreːprɑʋoət
បុស្បា	ɓohsɓaː
បុស្សរាគ	ɓohriəʔ
បូជនិយេសក៍	ɓoucceəniːjeːh
បូជនីយេសក៍	ɓocceəniːjeːh
បូណ៌មី	ɓonnɑːmiː
បូព៌ា	ɓoupiə
បូរី	ɓorəj
បូលីវី	ɓouliːʋiː
បួគីណាហ្វាសូ	ɓuəkiːnaːfaːsou
បេ	paw
បេក្ខជន	peːkkʰɑcuən
បេណាំង	ɓeːnɑŋ
បេយ្យាលៈ	pajjaːlɑʔ
បេរីល្យូម	ɓeːriːljuːm
បេរូត	ɓeːruːt
បេលី	ɓeːliː
បេសកកម្ម	peːsɑkɑkɑm
បេសកជន	peːsɑkɑcuən
បេឡា	peːlaː
បេឡារុស	ɓeːlaːruh
បែលហ្ស៊ិក	ɓaelzɨk
បៃតង	ɓajtɑːŋ
បោសនា	paosɑnaː
បំណង	ɓɑmnɑːŋ
បំបាំង	ɓɑmɓɑŋ
បំពង	ɓɑmpɔːŋ
បំពង់	ɓɑmpuəŋ
បំពាក់	ɓɑmpeəʔ
បំពាំង	ɓɑmpeəŋ
បំពេ	ɓɑmpei
បំពេញ	ɓɑmpɨɲ
បំភ័យ	ɓɑmpʰɨj
ប៉ង់សឺម៉ង់	pɑŋsəɨmɑŋ
ប៉ប្លោត	pɑploːt
ប៉ាកកា	paːkaː
ប៉ារីស	paːriːh
ប៉ារ៉ាហ្គាយ	paːraːɡiəj
ប៉ាសស្ព័រ	paːhspoə
ប៉ាស៊ីហ្វិក	paːsiːfək
ប៉ាហាំង	paːhɑŋ
ប៉ាឡាដ្យូម	paːlaːtjuːm
ប៉ិកួៈ	pekuəʔ
ប៉ុស្តិ៍	poh
ប៉ុស្តិ៍ត្រួតពិនិត្យ	pohtruətpinɨt
ប៉ូដហ្គោរីកា	poutɡoːriːkaː
ប៉ូលិស	poulih
ប៉ូវ	pəw
ប៉េកាំង	peːkɑŋ
ប៉េនីស៊ីលីន	peːnisiːliːn
ប៉េរូ	peːruː
ប៉ៃលិន	pajlɨn
ប៉័ងតោ	pɑŋtao
ប៊ិស្គីបត៍	ɓiskʰʋiː
ប៊ីយេរ	ɓiːjɛː
ប៊ីសកេក	ɓiːskeːk
ប៊ុយណូស៊ែ	ɓujnousɛː
ប៊ុយណូស៊ែរ	ɓujnousɛː
ប៊ុលហ្គារី	ɓulɡiəriː
ប៊ុល្លឺតាំង	ɓulləɨtɑŋ
ប៊ូតង់	ɓuːtɑŋ
ប៊័រ	ɓəː
ប័ណ្ណ	pɑnnɑʔ
ប្តេជ្ញា	pɗɑcɲaː
ប្រ	prɑ
ប្រក្រតី	prɑkrɑɗəj
ប្រគល់	prɑkuəl
ប្រឆាំង	prɑcʰɑŋ
ប្រជាជន	prɑːciəcuən
ប្រជាធិបតេយ្យ	prɑciətʰɨppɑtaj
ប្រជាមានិត	prɑːciəmiənɨt
ប្រណាំង	prɑnɑŋ
ប្រណិធាន	prɑnetʰiən
ប្រតិកម្ម	prɑtekɑm
ប្រតិករ	prɑtekɑː
ប្រតិទិន	prɑtetɨn
ប្រតិនិន្នាទ	prɑtenɨnniət
ប្រតិបត្តិ	prɑteɓɑt
ប្រតិបត្តិការ	prɑteɓɑttekaː
ប្រតិពល	prɑtepuəl
ប្រតិភូ	prɑtepʰuː
ប្រតិលាភ	prɑteliəp
ប្រទង់	prɑtuəŋ
ប្រទេស	prɑteih
ប្រធានាធិបតី	prɑtʰiəniətʰɨppɑɗəj
ប្រព័ន្ធ	prɑpoən
ប្រភព	prɑpʰup
ប្រភេទ	prɑpʰeit
ប្រមាត់	prɑmoət
ប្រមាត់ដី	prɑːmoətɗəj
ប្រមុខ	prɑmuk
ប្រមោទ	prɑmaoteəʔ
ប្រយុទ្ធ	prɑjut
ប្រយោគ	prɑjoːk
ប្រវត្តិ	prɑʋoət
ប្រវត្តិសាស្ត្រ	prɑʋɑttesaːh
ប្រវត្តិសាស្ត្រិន	prɑʋoəttesaːhstrən
ប្រវេណី	prɑʋeiniː
ប្រឡង់	prɑlɑŋ
ប្រអប់	prɑʔɑp
ប្រាកដ	praːkɑt
ប្រាក្រឹត	praːrət
ប្រាជ្ញា	praːcɲaː
ប្រារព្ធ	praːrup
ប្រឹថពី	prəttʰɑpiː
ប្រូការីយ៉ូត	proukaːriːjout
ប្រូតេស្តង់	prouteːstɑŋ
ប្រូមេចូម	proumeicoum
ប្រេកង់	preːkɑŋ
ប្រេងខ្យល់	kʰcɑl
ប្រេត	praet
ប្រេតូរីយ៉ា	preːtouriːjaː
ប្រៃសណីយ៍	prajsɑniː
ផល	pʰɑl
ផលិក	pʰlək
ផលិត	pʰɑlɨt
ផលិតកម្ម	pʰɑlitɑkɑm
ផលិតករ	pʰɑlɨtkɑː
ផលិតផល	pʰɑlitɑpʰɑl
ផស្ស	pʰɑhsɑʔ
ផោដ្ឋព្វៈ	pʰaottʰɑcpeəʔ
ផ្គាប់	pʰkoəp
ផ្ដាសាយ	pɗaːhsaːj
ផ្តល់	pɗɑl
ផ្តោត	pɗaot
ផ្ទាត់	pʰtoət
ផ្ទាប់	pʰtoəp
ផ្ទាល់	pʰtoəl
ផ្ទាំង	pʰteəŋ
ផ្រូក្រាមមីង	proukraːmmiːŋ
ផ្លរីដា	pʰlɑːriːɗaː
ផ្លាហ្សា	pʰlaːzaː
ផ្លូវ	pʰləw
ផ្សាំង	pʰsɑŋ
ពង្រាប	puəŋriəp
ពង្រាយ	puəŋriəj
ពង្រីក	puəŋriːk
ពង្រឹង	puəŋrɨŋ
ពង្រឹល	puəŋrɨl
ពង្រូល	puəŋruːl
ពង្រោះ	puəŋruəh
ពញា	pʰɲiə
ពណ៌	poə
ពណ៌នា	poənɑniə
ពណ្ណរាយ	puənnɑriəj
ពត៌មាន	poəɗɑːmiən
ពន្ធនាគារ	poəntɔniəkiə
ពន្ធន៍	poən
ពន្ធភាព	puəntʰeəpʰiəp
ពន្យល់	puənjuəl
ពន្យារ	puənjiə
ពន្លត់	puənluət
ពន្លាក	puənliəʔ
ពន្លឺ	puənlɨː
ពន្លុត	puənlut
ពន្លើស	puənləːh
ពន្លឿន	puənlɨən
ពន្លៃ	puənlɨj
ពន្លោត	puənloːt
ពភក់	pɔpʰuəʔ
ពល	puəl
ពលកម្ម	puəlleəkɑːmmɔː
ពលករ	puəlkɑː
ពលជីវី	puəlciːʋiː
ពលរដ្ឋ	puəlleəroət
ពលី	peəliː
ពហិការ	peəhekaː
ពហុ	peəhuʔ
ពហុកោណ	peəhukaon
ពហុធា	peəhutʰiə
ពាក់	peəʔ
ពាណិជ្ជកម្ម	piənɨcceəkɑm
ពាន់	poən
ពាយុ	piəjuʔ
ពាយ័ព្យ	piəjoəp
ពាល់	poəl
ពាំង	peəŋ
ពិការ	pikaː
ពិឃាដ	pikʰiət
ពិឃាត	pikʰiət
ពិចារណា	picaːrɑnaː
ពិតាន	pitaːn
ពិទូរ្យ	pituː
ពិធាន	pitʰiən
ពិធី	pitʰiː
ពិធុរ	pitʰuʔ
ពិនិត្យ	pinɨt
ពិន័យ	pinɨj
ពិន្ទុ	pɨntuʔ
ពិន្ទុរេខីយ	pintureikʰəj
ពិបាក	piɓaːʔ
ពិផាត	pipʰaːt
ពិពណ៌នា	pipoənɑniə
ពិពិធ	pipɨt
ពិពិធកម្ម	pipɨttʰeəkɑm
ពិព័ណ៌	pipoə
ពិព័រណ៍	pipoə
ពិភព	pipʰup
ពិភាក្សា	pipʰiəkʰsaː
ពិរុទ្ធ	pirut
ពិរុទ្ធជន	piruttʰeəcuən
ពិរុទ្ធិកជន	piruttʰikɑcuən
ពិរោធ	piroːt
ពិសា	pisaː
ពិសាខ	pisaːʔ
ពិសិដ្ឋ	pisət
ពិសេស	pisaeh
ពិសោធ	pisaot
ពិសោធន៍	pisaot
ពិឡារ	pilaː
ពីជគណិត	piːceəkeənət
ពីជៈ	piːceəʔ
ពីតាករ	piːtaːkɑː
ពុទ្ធិក	puttʰikɑʔ
ពុទ្រា	puttriə
ពួកម៉ាក	puəmaːʔ
ពេក	peik
ពេចន៍	pɨc
ពេជ្ឈឃាដ	pɨccʰeəkʰiət
ពេជ្ឈឃាត	pɨccʰeəkʰiət
ពេជ្រ	pɨc
ពេញ	pɨɲ
ពេទ្យ	pɛːt
ពេល	peil
ពេស្យា	peihsjaː
ពេស្យាស្ថាន	peihsjaːstʰaːn
ពែរមី	peəmiː
ពែរ្ស	pɛːsɑː
ពោធិ	poːtʰiʔ
ពោធិសត្វ	poːtʰisɑt
ពំនាល់	pumnoəl
ព័ត	poət
ព័ត៌មាន	poəɗɑːmiən
ព័ទ្ធ	poət
ព័ន្ធ	poən
ព័ន្ធុ	poəntʰuʔ
ព័រទុយហ្គាល់	poətujɡoəl
ព័រម៉ូរេសប៊ី	poəmoureisɓiː
ព្យញ្ជន	pʰjuəɲceəneəʔ
ព្យញ្ជនៈ	pʰjuəɲceəneəʔ
ព្យតិហារ	pʰjeətehaː
ព្យាករ	pʰjiəkɑː
ព្យាករណ៍	pʰjiəkɑː
ព្យាធិ	pʰjiətʰiʔ
ព្យាធិ៍	pʰjiət
ព្រនង់	prɔnuəŋ
ព្រហក់	prɔhuəʔ
ព្រហស្បតិ៍	prɔhoəh
ព្រហស្បត្ណិ	prɔhoəh
ព្រហ្ម	prum
ព្រហ្មចារិភាព	prummeəcaːrepʰiəp
ព្រហ្មញ្ញ	prummɑɲ
ព្រហ្មណ្យ	prummɑn
ព្រហ្មទណ្ឌ	prummeətoən
ព្រាត់	proət
ព្រីស្ទីណា	priːstiːnaː
ព្រឹត្តិ	prɨt
ព្រឹត្តិការណ៍	prɨttekaː
ព្រឹត្តិប័ត្រ	prɨtteɓɑt
ព្រឹទ្ធសភា	prɨtsɑpʰiə
ព្រេង	preiŋ
ព្រ័ត្រ	proət
ភក្ខ	pʰeəʔ
ភក្តី	pʰeəkɗəj
ភក្តីភាព	pʰeəkɗəjpʰiəp
ភក្ត្រ	pʰeəʔ
ភក្ស	pʰeəʔ
ភក្សា	pʰeəkʰsaː
ភគិនី	pʰeəkiniː
ភណ្ឌាគារ	pʰoənɗiəkiə
ភទ្របទ	pʰoəttreəɓɑːt
ភព	pʰup
ភយន្តរាយ	pʰeəjoəntɑraːj
ភយូបទ្រព	pʰeəjuːpɑtrup
ភរណៈ	pʰeəreənɑʔ
ភរិយា	pʰeərijiə
ភវ័ន	pʰeəʋoən
ភស្តុ	pʰoəh
ភារវត្ថុ	pʰiəreəʋoəttʰoʔ
ភារៈ	pʰiəreəʔ
ភាវរស់	pʰiəʋeəruəh
ភិក្ខុ	pʰɨk
ភិរុណ	pʰirun
ភីហ្សា	pʰiːzaː
ភីឡាដេលផ្យា	pʰiːlaːɗeːlpʰjaː
ភូមធ្យរេខា	pʰuːmeətʰjeəreikʰaː
ភូមរាវិទ្យា	pʰuːmeəriəʋɨttʰjiə
ភូមិ	pʰuːm
ភូមិសាស្ត្រ	pʰuːmisaːh
ភូមិសាស្ត្រិន	pʰuːmisaːhstrən
ភេ	pʰei
ភេត្រា	pʰeitraː
ភេទ	pʰeit
ភេនឃ្វីន	pʰeinkʰʋiːn
ភេរវជន	pʰeireəʋeəcuən
ភេរវនិយម	pʰeireəʋeənijum
ភេរវារម្មណ៍	pʰeireəʋiərɑm
ភេសជ្ជ	pʰeisɑc
ភេសជ្ជាគារ	pʰeisɑcciəkiə
ភេសជ្ជៈ	pʰeisɑcceəʔ
ភោគសម្ប័ទ	pʰoːkeəsɑmɓɑt
ភោជន	pʰoːcuən
ភោជនាគារ	pʰoːceəniəkiə
ភោជនីយ	pʰoːceəniː
ភោជនីយដ្ឋាន	pʰoːceəniːjeətʰaːn
ភោជ្ជសាលី	pʰoːcsaːləj
ភ័ក	pʰeəʔ
ភ័ព្វ	pʰoəp
ភ័យ	pʰɨj
ភ្ជាប់	pʰcoəp
ភ្ញាក់	pʰɲeəʔ
ភ្នាក់	pʰneəʔ
ភ្នាល់	pʰnoəl
ភ្រូណា	pruːnaː
ភ្លាំង	pʰleəŋ
ភ្លេង	pʰleiŋ
ភ្លេច	pʰlɨc
មករា	meəkɑraː
មកុដ	meəkot
មក្លឿ	meəkʰlɨə
មង្គល	meəŋkuəl
មង្ឃុត	muəŋkʰut
មច្ឆព័ន្ធ	mɑccʰɑpoən
មច្ឆា	mɑccʰaː
មច្ឆានុ	mɑccʰaːnuʔ
មជ្ជ	mɑcceəʔ
មជ្ឈដ្ឋាន	mɑccʰeətʰaːn
មជ្ឈន្តិកកាល	mɑccʰoəntekɑkaːl
មជ្ឈមណ្ឌល	mɑccʰeəmuənɗuəl
មជ្ឈិម	mɑccʰimeəʔ–
មណី	meəniː
មណ្ឌល	muənɗuəl
មណ្ឌលគិរី	mɔːnɗɔːlkiriː
មតិ	mɑteʔ
មត្ត	mɑt
មត្តកសាសន៍	mɑttɑkɑsaːh
មត្តេយ្យសាលា	mɑttəjjeəsaːlaː
មធុ	meətʰuʔ
មធុរជាតិ	meətʰureəciət
មធ្យម	mɑttʰjum
មធ្យោបាយ	mɑttʰjoːɓaːj
មនសិការ	meəneəsekaː
មនុស្ស	meənuh
មនុស្សគ្រាស	meənuhsɑkriəh
មនុស្សជាតិ	meənuhsɑciət
មនុស្សធម៌	meənuhsɑtʰoə
មនោ	meənoː
មនោវិក័ត	meənoːʋikɑt
មន្ត្រី	muəntrəj
មន្ទិល	muəntɨl
មន្ទីរ	muəntiː
មយូរ	meəjuː
មយូរី	meəjuːriː
មរកត	meəreəkɑt
មរតក	meəreəɗɑʔ
មសូរ	meəsou
មហទ្ធន	meəhɑttʰuən
មហន្ត	meəhɑn
មហន្តរាយ	meəhɑntɑraːj
មហា	meəhaː
មហាក្សត្រ	meəhaːkʰsɑt
មហាជន	mɔhaːcuən
មហាផ្ទៃ	meəhaːpʰtɨj
មហារាជ	meəhaːriəc
មហារីក	mɔhaːriːk
មហាវិទ្យាល័យ	mɔːhaːʋɨtjiəlaj
មហាសមុទ្រ	meəhaːsɑmot
មហេសី	meəheːsəj
មហោរស្រព	meəhaosrɑp
មហោរី	meəhaoriː
មហោស្រព	meəhaosrɑp
មាក់បាត	meəɓaːt
មាក់ប្រាង	meəpraːŋ
មាគសិរ	miəkseʔ
មាគ៌ា	miəkiə
មាឃ	miəʔ
មាតា	miəɗaː
មាតិកា	miətekaː
មាតិកានុក្រម	miətekaːnukrɑm
មាតុ	miətoʔ
មាតុប្រទេស	miətoprɑːteih
មាតុភូមិ	miətopʰuːm
មាត់	moət
មាត់ស្បូន	moətsɓoun
មាត្រដ្ឋាន	miətrɑttʰaːn
មាន់	moən
មាល័យ	miəlɨj
មិគសិរ	mikeəseː
មិច្ឆាទិដ្ឋិ	miccʰaːtɨttʰeʔ
មិត្តភក្តិ	mɨttɑpʰeəʔ
មិថុន	mitʰon
មិថុនា	mitʰonaː
មិទ្ធៈ	mɨttʰeəʔ
មិស្សភាគ	mɨhsɑpʰiəʔ
មីក្រូទស្សន៍	miːkroutuəh
មីឈីហ្គេន	miːcʰiːɡein
មីនា	miːnaː
មីហ្វេប្រីស្តូន	miːfeːprəjstoun
មុទិតា	mutitaː
មូត្រ	mout
មូត្រាស័យ	muːtraːsaj
មូលដ្ឋាន	muːlɑttʰaːn
មូលតា	muːleətaː
មូលធន	muːleətʰuən
មូលនិធិ	muːlənitʰiʔ
មូលបត្រ	muːleəɓɑt
មូលភាព	muːleəpʰiəp
មូលសព្ទ	muːllɑsɑp
មូលហេតុ	muːleəhaet
មូលាណូ	muːllɑnou
មូសិកទន្ត	muːsekɑtoən
មូស្លីម	muːsliːm
មួយរយ	mrɔːj
មេ	mei
មេកា	meikaː
មេឃ	meik
មេដាយ	meiɗaːj
មេតាន	meitaːn
មេត្តា	meittaː
មេត្រី	meitrəj
មេត្រីភាព	meitrəjpʰiəp
មេថុន	meitʰon
មេទនី	meiteəniː
មេធាវី	meitʰiəʋiː
មេន	mein
មេសបាល	meisɑɓaːl
មេសបាលី	meisɑɓaːliː
មេសា	meisaː
មេស្ស៊ី	meihsiː
មោទកភាព	moːteəkɑpʰiəp
មោទនភាព	moːteəneəpʰiəp
មោរៈ	moːreəʔ
មំសៈ	meəŋsɑʔ
ម៉ាក់ណូលា	mɑnouliə
ម៉ាក់ម៉ា	mɑmaː
ម៉ាក្សនិយម	maːnijum
ម៉ាញ៉េ	maːɲei
ម៉ាដាហ្គាស្ការ	maːɗaːɡiəskaː
ម៉ានហ្គា	maːnɡaː
ម៉ានីតូបា	maːniːtouɓaː
ម៉ានីល	maːniːl
ម៉ាយូណេស	maːjuːneːh
ម៉ារីលែន	maːriːlɛːn
ម៉ាលី	maːliː
ម៉ាសក៍	mɑh
ម៉ាស្សា	maːhsaː
ម៉ាឡាយូ	maːlaːjuː
ម៉ាឡាវី	maːlaːʋiː
ម៉ឺនុយ	məɨnuj
ម៉ុងតេនីក្រូ	moŋteːniːkrou
ម៉ុងហ្គោល	moŋɡoːl
ម៉ុងហ្គោលី	moŋɡuːliː
ម៉ូទ័រ	moutoə
ម៉ូនីទ័រ	mouniːtoə
ម៉ូរីតានី	mouriːtaːniː
ម៉ូរីស	mouriːh
ម៉ូលីបដែន	mouliːpɗaen
ម៉ូលេគុល	mouleikul
ម៉ូហ្កាឌីស្យូ	mouɡiəɗiːsjou
ម៉េច	məc
ម៉ៃស័ក	majsɑʔ
ម័រហ្វីន	moəfiːn
ម្ដេច	mɗəc
ម្ទេស	mteih
ម្នាក់	mneəʔ
ម្នាស់	mnoəh
ម្រេច	mrɨc
ម្លប់	mlup
ម្លិះ	mlih
យក	jɔː
យកនៈ	jeəkɑnɑʔ
យក្ខ	jeəʔ
យក្ខិនី	jeəkʰenəj
យក្ស	jeəʔ
យញ្ញ	jɑɲ
យដិ័	joəttʰeʔ
យតិភង្គ	jeətepʰeəŋ
យន្តម័យ	juəntɑmaj
យន្តសាស្ត្រ	juəntɑsaːh
យន្តសិក្សា	juəntɑsəksaː
យប់	jup
យម	jum
យស	juəh
យសោធរា	jeəsaotʰeəriə
យានដ្ឋាន	jiənɑtʰaːn
យុគល	jukeəleəʔ
យុគលពិន្ទុ	jukeəleəpintuʔ
យុគលៈ	jukeəleəʔ
យុត្តិ	jutteʔ
យុត្តិធម៌	juttetʰoə
យុថ្កា	juttʰkaː
យុទ្ធការ	juttʰeəkaː
យុទ្ធការី	juttʰeəkaːrəj
យុទ្ធជន	juttʰeəcuən
យុទ្ធនា	juttʰeəniə
យុទ្ធនាការ	juttʰeəniəkaː
